row_label_raw,row_label_full,Xây dựng FBV,Công ty trong Tập đoàn,Xây dựng nhà mẫu,5.549.916.025,2.067.991.584,numeric__Công ty trong Tập đoàn,numeric__Xây dựng nhà mẫu,numeric__5.549.916.025,numeric__2.067.991.584
DXI,DXI,DXI,Công ty trong Tập đoàn,Trả trước dịch vụ môi giới,2.849.369.450,2.000.000.000,,,2849369450.0,2000000000.0
DXG,DXG,DXG,Công ty mẹ,Trả trước dịch vụ môi giới,96.526.734,96.526.734,,,96526734.0,96526734.0
,,,,,8.495.812.209,4.164.518.318,,,8495812209.0,4164518318.0
