row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Công ty trong Tập đoàn,Ký quỹ môi giới Tạm hoàn ứng cho chủ đầu tư,1.141.450.000.000,-,,,1141450000000.0,
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Công ty trong Tập đoàn,Ký quỹ môi giới Tạm hoàn ứng cho chủ đầu tư,586.750.000.000,-,,,586750000000.0,
Charm & CI,Phải thu ngắn hạn khác > Charm & CI,Charm & CI,Công ty trong Tập đoàn,"Tiền đặt cọc, ký quỹ dự án",182.382.257.533,-,,,182382257533.0,
DXG,DXG,DXG,Công ty mẹ,Ký quỹ Chi hộ,37.449.744.458 2.461.012.482,7.883.744.458 2.442.444.030,,,,
FBV,DXG > FBV,FBV,Công ty trong Tập đoàn,Góp vốn theo HĐHTKD,13.545.956.720,-,,,13545956720.0,
Vicco Sài Gòn,DXG > Vicco Sài Gòn,Vicco Sài Gòn,Công ty trong Tập đoàn,Tiền đặt cọc thuê văn phòng,855.356.760,855.356.760,,,855356760.0,855356760.0
LDG,DXG > LDG,LDG,Công ty liên kết trước đây,Tạm ứng mua cổ phần,-,489.740.000.000,,,,489740000000.0
LDG,DXG > LDG,LDG,Công ty liên kết trước đây,Tạm ứng mua cổ phần,-,7.000.000.000,,,,7000000000.0
LDG,DXG > LDG,LDG,Công ty liên kết trước đây,Tạm ứng mua cổ phần,-,2.606.672.527,,,,2606672527.0
DXI,DXG > DXI,DXI,Công ty trong Tập đoàn,Vốn góp theo HĐHTKD,-,45.939.736.959,,,,45939736959.0
DXI,DXG > DXI,DXI,Công ty trong Tập đoàn,Vốn góp theo HĐHTKD,-,2.500.899.313,,,,2500899313.0
,,,,,1.964.894.327.953,558.968.854.047,,,1964894327953.0,558968854047.0
