row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,61.563.486.883,668.867.272,57.859.781.538,12.976.614.811,2.179.437.318,135.248.187.822,61563486883.0,668867272.0,57859781538.0,12976614811.0,2179437318.0,135248187822.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,1.287.088.637,9.898.553.184,1.368.796.774,40.800.000,12.595.238.595,,1287088637.0,9898553184.0,1368796774.0,40800000.0,12595238595.0
Tăng do mua lại công ty con,Nguyên giá: > Tăng do mua lại công ty con,Tăng do mua lại công ty con,-,-,8.208.207.002,698.369.011,133.774.600,9.040.350.613,,,8208207002.0,698369011.0,133774600.0,9040350613.0
Kết chuyển từ đầu tư xây dựng cơ bản dở dang,Nguyên giá: > Kết chuyển từ đầu tư xây dựng cơ bản dở dang,Kết chuyển từ đầu tư xây dựng cơ bản dở dang,5.625.576.866,-,1.237.063.636,-,-,6.862.640.502,5625576866.0,,1237063636.0,,,6862640502.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,-,(38.943.272),-,(74.937.000),(40.572.000),(154.452.272),,-38943272.0,,-74937000.0,-40572000.0,-154452272.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(136.309.000),(338.723.636),(3.418.596.362),(163.560.581),-,(4.057.189.579),-136309000.0,-338723636.0,-3418596362.0,-163560581.0,,-4057189579.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,67.052.754.749,1.578.289.001,73.785.008.998,14.805.283.015,2.313.439.918,159.534.775.681,67052754749.0,1578289001.0,73785008998.0,14805283015.0,2313439918.0,159534775681.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,-,4.309.106.487,775.248.361,-,5.084.354.848,,,4309106487.0,775248361.0,,5084354848.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(602.688.108),(204.098.810),(19.678.840.843),(1.918.154.182),(512.480.773),(22.916.262.716),-602688108.0,-204098810.0,-19678840843.0,-1918154182.0,-512480773.0,-22916262716.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(2.340.378.724),(769.447.939),(9.534.875.587),(2.835.602.095),(347.269.607),(15.827.573.952),-2340378724.0,-769447939.0,-9534875587.0,-2835602095.0,-347269607.0,-15827573952.0
Tăng do mua lại công ty con,Giá trị khấu hao lũy kế: > Tăng do mua lại công ty con,Tăng do mua lại công ty con,-,-,(3.447.971.366),(444.359.403),(78.035.195),(3.970.365.964),,,-3447971366.0,-444359403.0,-78035195.0,-3970365964.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,-,28.125.697,-,34.970.600,22.314.600,85.410.897,,28125697.0,,34970600.0,22314600.0,85410897.0
Giảm do thanh lý công ty con,Giá trị khấu hao lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,26.788.164,113.521.495,1.530.985.132,59.275.249,-,1.730.570.040,26788164.0,113521495.0,1530985132.0,59275249.0,,1730570040.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(2.916.278.668),(831.899.557),(31.130.702.664),(5.103.869.831),(915.470.975),(40.898.221.695),-2916278668.0,-831899557.0,-31130702664.0,-5103869831.0,-915470975.0,-40898221695.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,60.960.798.775,464.768.462,38.180.940.695,11.058.460.629,1.666.956.545,112.331.925.106,60960798775.0,464768462.0,38180940695.0,11058460629.0,1666956545.0,112331925106.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,64.136.476.081,746.389.444,42.654.306.334,9.701.413.184,1.397.968.943,118.636.553.986,64136476081.0,746389444.0,42654306334.0,9701413184.0,1397968943.0,118636553986.0
Trong đó: Thế chấp để đảm bảo các khoản vay (Thuyết minh số 25.1 và 25.3),Giá trị còn lại: > Trong đó: Thế chấp để đảm bảo các khoản vay (Thuyết minh số 25.1 và 25.3),Trong đó: Thế chấp để đảm bảo các khoản vay (Thuyết minh số 25.1 và 25.3),-,-,11.228.116.794,-,-,11.228.116.794,,,11228116794.0,,,11228116794.0
