row_label_raw,row_label_full,col_0,Dịch vụ bắt động sản,Đầu tư và phát triển dự án bắt động sản,Loại trừ,Tổng cộng,numeric__Dịch vụ bắt động sản,numeric__Đầu tư và phát triển dự án bắt động sản,numeric__Loại trừ,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,
Doanh thu thuầnDoanh thu hoạt động kinh doanh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Doanh thu thuầnDoanh thu hoạt động kinh doanh,Doanh thu thuầnDoanh thu hoạt động kinh doanh,3.714.475.528.996,429.140.801.862,(894.403.889.144),3.249.212.441.714,3714475528996.0,429140801862.0,-894403889144.0,3249212441714.0
Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,2.229.785.695.117,139.317.358.383,(32.827.682.581),2.336.275.370.919(921.892.209.901),2229785695117.0,139317358383.0,-32827682581.0,
Lợi nhuận từ hoạt động kinh doanhDoanh thu hoạt động tài chínhChi phí tài chínhLãi khác,Lợi nhuận từ hoạt động kinh doanhDoanh thu hoạt động tài chínhChi phí tài chínhLãi khác,Lợi nhuận từ hoạt động kinh doanhDoanh thu hoạt động tài chínhChi phí tài chínhLãi khác,,,,1.461.945.073.24734.325.077.964(46.411.605.105)41.867.461.067,,,,
Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,,,,1.444.164.094.944(313.628.732.003)5.003.122.787,,,,
Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,,,,1.135.538.485.728262.287.806.786,,,,1.1355384857282622e+24
Lợi nhuận sau thuế công ty mẹVào ngày 31 tháng 12 năm 2020,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Lợi nhuận sau thuế công ty mẹVào ngày 31 tháng 12 năm 2020,Lợi nhuận sau thuế công ty mẹVào ngày 31 tháng 12 năm 2020,,,,873.250.678.942,,,,873250678942.0
Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,8.394.528.217.724,2.060.153.418.795,(789.133.424.732),9.665.548.211.7871.429.493.073.724,8394528217724.0,2060153418795.0,-789133424732.0,9.665548211787143e+25
Tổng tài sảnCông nợ bộ phânCông nợ không phân bổ,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Tổng tài sảnCông nợ bộ phânCông nợ không phân bổ,Tổng tài sảnCông nợ bộ phânCông nợ không phân bổ,4.875.613.233.333,264.023.687.925,(716.844.594.137),11.095.041.285.5114.422.792.327.121832.911.699.672,4875613233333.0,264023687925.0,-716844594137.0,1.1095041285511442e+38
Tổng công nợ,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Tổng công nợ,Tổng công nợ,,,,5.255.704.026.793,,,,5255704026793.0
