row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua,numeric__Giá trị hợp lý ghi nhận tại ngày mua
Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,918.668.995.769,918668995769.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,71.325.170.187,71325170187.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,40.000.000,40000000.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,599.504.519.002,599504519002.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,237.484.994.215,237484994215.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,10.267.572.055,10267572055.0
Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,46.740.310,46740310.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,91.359.874.016,91359874016.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,33.068.975.200,33068975200.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,5.488.863.014,5488863014.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,97.500.000,97500000.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,47.541.198.258,47541198258.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,1.409.462.297,1409462297.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,3.753.875.247,3753875247.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.010.028.869.785,1010028869785.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,503.868.473.003,503868473003.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,5.225.909.774,5225909774.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,15.076.864.557,15076864557.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,28.305.673.102,28305673102.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,6.008.574.356,6008574356.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,14.616.964.047,14616964047.0
Phải trả khác,Phải trả khác,Phải trả khác,431.022.196.205,431022196205.0
Vay,Vay,Vay,843.630.000,843630000.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",2.768.660.961,2768660961.0
Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,506.160.396.78,50616039678.0
Cổ đông không kiểm soát,Cổ đông không kiểm soát,Cổ đông không kiểm soát,(149.140.688.417),-149140688417.0
Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 18),Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 18),Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 18),187.292.882.73,18729288273.0
Tổng giá phí hợp nhất kinh doanh đã thanh toán,Tổng giá phí hợp nhất kinh doanh đã thanh toán,Tổng giá phí hợp nhất kinh doanh đã thanh toán,544.312.591.10,54431259110.0
