row_label_raw,row_label_full,col_0,Vốn cổ phần,Phụ trội hợp nhất,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Phụ trội hợp nhất,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,1.100.000.000.000,(9.350.460.000),5.083.303.511,191.768.671.405,947.660.735.418,2.235.162.250.334,1100000000000.0,-9350460000.0,5083303511.0,191768671405.0,947660735418.0,2235162250334.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,1.900.000.000.000,-,-,-,-,1.900.000.000.000,1900000000000.0,,,,,1900000000000.0
Góp vốn từ cổ đông không kiểm soát,Năm trước > Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,,476.880.302.000,476.880.302.000,,,,,476880302000.0,476880302000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.061.393.477.319,571.550.667.746,1.632.944.145.065,,,,1061393477319.0,571550667746.0,1632944145065.0
Cổ tức đã công bố,Năm trước > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,(743.755.000.000),-,(743.755.000.000),,,,-743755000000.0,,-743755000000.0
Cổ tức trả cho cổ đông không kiểm soát,Năm trước > Cổ tức trả cho cổ đông không kiểm soát,Cổ tức trả cho cổ đông không kiểm soát,-,-,-,-,(328.011.933.108),(328.011.933.108),,,,,-328011933108.0,-328011933108.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(48.880.872.608),(45.809.560.396),(94.690.433.004),,,,-48880872608.0,-45809560396.0,-94690433004.0
Hợp nhất công ty con dưới sự kiểm soát chung,Năm trước > Hợp nhất công ty con dưới sự kiểm soát chung,Hợp nhất công ty con dưới sự kiểm soát chung,-,-,-,978.591.767,(978.591.767),-,,,,978591767.0,-978591767.0,
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,3.000.000.000.000,(9.350.460.000),5.083.303.511,461.504.867.883,1.621.291.619.893,5.078.529.331.287,3000000000000.0,-9350460000.0,5083303511.0,461504867883.0,1621291619893.0,5078529331287.0
