row_label_raw,row_label_full,col_0,VND,numeric__VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,8.331.798.555,8331798555.0
Tăng từ hợp nhất kinh doanh,Nguyên giá: > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,201.476.379.808,201476379808.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,209.808.178.363,209808178363.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,
Số đầu năm,Phân bổ lũy kế: > Số đầu năm,Số đầu năm,(902.611.511),-902611511.0
Phân bổ trong năm,Phân bổ lũy kế: > Phân bổ trong năm,Phân bổ trong năm,(9.228.029.015),-9228029015.0
Giảm khác,Phân bổ lũy kế: > Giảm khác,Giảm khác,(822.061.008),-822061008.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,(10.952.701.534),-10952701534.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,7.429.187.044,7429187044.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,198.855.476.829,198855476829.0
