row_label_raw,row_label_full,col_0,Bàng cân đối kế toán hợp nhất,Bàng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bàng cân đối kế toán hợp nhất,numeric__Bàng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,2.155.076.644,6.191.332.449,(4.036.255.805),(1.043.238.833),2155076644.0,6191332449.0,-4036255805.0,-1043238833.0
Lợi nhuận nội bộchưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộchưa thực hiện,Lợi nhuận nội bộchưa thực hiện,26.344.789.859,7.532.092.958,18.812.696.901,5.931.873.068,26344789859.0,7532092958.0,18812696901.0,5931873068.0
Dự phòng cáckhoản phải thuKhác,Tài sản thuế thu nhập hoãn lại > Dự phòng cáckhoản phải thuKhác,Dự phòng cáckhoản phải thuKhác,282.072.0017.582.735,282.072.0011.164.717.202,-(3.646.566.880),(17.128.796)630.652.969,2820720017582735.0,2.820720011164717e+18,,
,,,28.789.521.239,15.170.214.610,,,28789521239.0,15170214610.0,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Dự phòng cáckhoản đầu tưKhác,Dự phòng cáckhoản đầu tưKhác,Dự phòng cáckhoản đầu tưKhác,(3.272.915.343)(2.853.836.086),-,(3.272.915.343)(2.853.836.086),-,,,,
,,,(6.126.751.429),-,,,-6126751429.0,,,
Thu nhập thuế TNDN hoãn lại tính vào báo cáokết quả kinh doanh hợp nhất,Dự phòng cáckhoản đầu tưKhác > Thu nhập thuế TNDN hoãn lại tính vào báo cáokết quả kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại tính vào báo cáokết quả kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại tính vào báo cáokết quả kinh doanh hợp nhất,Thu nhập thuế TNDN hoãn lại tính vào báo cáokết quả kinh doanh hợp nhất,5.003.122.787,5.502.158.408,,,5003122787.0,5502158408.0
