row_label_raw,row_label_full,Tiền thu từ phát hành cổ phiếu,31,col_2,col_3,6.331.700.000,numeric__31,numeric__col_2,numeric__col_3,numeric__6.331.700.000
Tiền mua lại cổ phiếu đã phát hành,Tiền mua lại cổ phiếu đã phát hành,Tiền mua lại cổ phiếu đã phát hành,32,,(321.900.000),(318.600.000),32.0,,-321900000.0,-318600000.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,,8.152.071.289.145,7.651.105.858.010,33.0,,8152071289145.0,7651105858010.0
Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,34,,(7.299.787.447.757),(8.094.112.650.896),34.0,,-7299787447757.0,-8094112650896.0
Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,36,,(459.868.559.600),(399.921.240.000),36.0,,-459868559600.0,-399921240000.0
Tạm ứng đã nhận từ các công ty con,Tạm ứng đã nhận từ các công ty con,Tạm ứng đã nhận từ các công ty con,36,,168.821.081.866,,36.0,,168821081866.0,
Tiền chỉ trả các hoạt động tài chính khác,Tiền chỉ trả các hoạt động tài chính khác,Tiền chỉ trả các hoạt động tài chính khác,36,,(30.690.637.462),(34.025.769.448),36.0,,-30690637462.0,-34025769448.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,530.223.826.192,(870.940.702.334),40.0,,530223826192.0,-870940702334.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,,500.567.495.676,(487.374.059.602),50.0,,500567495676.0,-487374059602.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,137.253.411.069,.624.920.492.383,60.0,,137253411069.0,624920492383.0
Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,61,,108.631.977,(293.021.712),61.0,,108631977.0,-293021712.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),70,4,637.929.538.722,137.253.411.069,70.0,4.0,637929538722.0,137253411069.0
