row_label_raw,row_label_full,Mua nguyên vật liệu,104.001.325.758,75.253.898.211,numeric__104.001.325.758,numeric__75.253.898.211
Mua dịch vụ,Mua dịch vụ,Mua dịch vụ,6.244.926.320,6.595.257.103,6244926320.0,6595257103.0
Lợi nhuận được phân phối,Lợi nhuận được phân phối,Lợi nhuận được phân phối,3.088.427.902,-,3088427902.0,
