row_label_raw,row_label_full,Mua nguyên vật liệu,471.763.407.551,502.575.852.944,numeric__471.763.407.551,numeric__502.575.852.944
Gốp vốn,Gốp vốn,Gốp vốn,300.000.000.000,-,300000000000.0,
Cho vay,Cho vay,Cho vay,26.000.000.000,248.500.000.000,26000000000.0,248500000000.0
Thu hồi cho vay,Thu hồi cho vay,Thu hồi cho vay,192.000.000.000,169.000.000.000,192000000000.0,169000000000.0
Thu nhập lãi cho vay,Thu nhập lãi cho vay,Thu nhập lãi cho vay,262.849.315,6.151.657.534,262849315.0,6151657534.0
Tiền thu từ thanh lý tài sản cố định hữu hình,Tiền thu từ thanh lý tài sản cố định hữu hình,Tiền thu từ thanh lý tài sản cố định hữu hình,-,21.478.132.117,,21478132117.0
