row_label_raw,row_label_full,Mua dịch vụ,27.014.610.590,29.014.225.195,numeric__27.014.610.590,numeric__29.014.225.195
Mua nguyên vật liệu,Mua nguyên vật liệu,Mua nguyên vật liệu,44.478.807.141,11.945.261.498,44478807141.0,11945261498.0
Lợi nhuận được phân phối,Lợi nhuận được phân phối,Lợi nhuận được phân phối,30.865.821.884,34.670.149.192,30865821884.0,34670149192.0
Phí xét nghiệm,Phí xét nghiệm,Phí xét nghiệm,188.400.000,-,188400000.0,
Phí chứng nhận hàng hóa,Phí chứng nhận hàng hóa,Phí chứng nhận hàng hóa,1.749.331.895,-,1749331895.0,
