row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Kinh phí đo đạc, cắm móc, cấp giấy chứng nhận quyền sử dụng đất (*)","Ngắn hạn > Kinh phí đo đạc, cắm móc, cấp giấy chứng nhận quyền sử dụng đất (*)","Kinh phí đo đạc, cắm móc, cấp giấy chứng nhận quyền sử dụng đất (*)",7.045.582.488,16.920.399.387,7045582488.0,16920399387.0
"Nhận ký quỹ, ký cược","Ngắn hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",12.736.618.329,13.970.377.229,12736618329.0,13970377229.0
Phải trả các thầu phụ chưa được đối chiếu,Ngắn hạn > Phải trả các thầu phụ chưa được đối chiếu,Phải trả các thầu phụ chưa được đối chiếu,10.392.387.723,12.552.688.399,10392387723.0,12552688399.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,6.170.433.430,5.877.906.107,6170433430.0,5877906107.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",20.440.512.952,19.151.224.897,20440512952.0,19151224897.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,56.785.534.922,68.472.596.019,56785534922.0,68472596019.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược","Dài hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",18.037.205.548,10.830.361.951,18037205548.0,10830361951.0
Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 36),Dài hạn > Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 36),Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 36),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,19.252.741.228,12.045.897.631,19252741228.0,12045897631.0
