row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu về lãi tiền gửi,Ngắn hạn > Phải thu về lãi tiền gửi,Phải thu về lãi tiền gửi,75.051.804.779,-,94.387.310.769,-,75051804779.0,,94387310769.0,
Phải thu các đội thi công và xưởng chế biến khai thác,Ngắn hạn > Phải thu các đội thi công và xưởng chế biến khai thác,Phải thu các đội thi công và xưởng chế biến khai thác,17.630.932.881,(15.808.889.217),18.191.349.686,(15.309.768.137),17630932881.0,-15808889217.0,18191349686.0,-15309768137.0
Tạm ứng cho cán bộ công nhân viên,Ngắn hạn > Tạm ứng cho cán bộ công nhân viên,Tạm ứng cho cán bộ công nhân viên,6.821.159.813,(226.526.213),8.326.248.905,(109.584.048),6821159813.0,-226526213.0,8326248905.0,-109584048.0
Phải thu về cổ phần hóa các công ty liên kết,Ngắn hạn > Phải thu về cổ phần hóa các công ty liên kết,Phải thu về cổ phần hóa các công ty liên kết,3.169.764.000,(2.327.220.710),3.759.198.220,(2.916.654.930),3169764000.0,-2327220710.0,3759198220.0,-2916654930.0
Phải thu về cổ tức và lợi nhuận được chia,Ngắn hạn > Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,125.034.888,-,1.747.228.670,-,125034888.0,,1747228670.0,
"Ký quỹ, ký cược","Ngắn hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",2.636.631.943,-,432.927.164,-,2636631943.0,,432927164.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,7.457.939.415,(4.108.544.488),8.172.000.031,(1.562.804.574),7457939415.0,-4108544488.0,8172000031.0,-1562804574.0
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 36),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 36),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 36),3.055.511.705,-,3.708.477.693,-,3055511705.0,,3708477693.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,115.948.779.424,(22.471.180.628),138.724.741.138,(19.898.811.689),115948779424.0,-22471180628.0,138724741138.0,-19898811689.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Đầu tư dự án liên doanh trồng rừng (*),Dài hạn > Đầu tư dự án liên doanh trồng rừng (*),Đầu tư dự án liên doanh trồng rừng (*),2.498.361.159,-,3.159.264.513,-,2498361159.0,,3159264513.0,
"Ký quỹ, ký cược dài hạn","Dài hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",1.543.968.500,-,1.439.740.380,-,1543968500.0,,1439740380.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,4.042.329.659,-,4.599.004.893,-,4042329659.0,,4599004893.0,
