row_label_raw,row_label_full,col_0,Số cuối năm > Số dư,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Số dư,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Số dư,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Số dư,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,1.141.390.360.287,-,1.141.390.360.287,1.200.652.327.921,-,1.200.652.327.921,1141390360287.0,,1141390360287.0,1200652327921.0,,1200652327921.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,18.816.778.144,-,18.816.778.144,25.792.424.774,-,25.792.424.774,18816778144.0,,18816778144.0,25792424774.0,,25792424774.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.160.207.138.431,-,1.160.207.138.431,1.226.444.752.695,-,1.226.444.752.695,1160207138431.0,,1160207138431.0,1226444752695.0,,1226444752695.0
