row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,22.665.199.898,1.351.600.000,22.899.451.182,46.916.251.080,22665199898.0,1351600000.0,22899451182.0,46916251080.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,6.261.464.380,145.772.618,-,6.407.236.998,6261464380.0,145772618.0,,6407236998.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,28.926.664.278,1.497.372.618,22.899.451.182,53.323.488.078,28926664278.0,1497372618.0,22899451182.0,53323488078.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,502.351.822,143.900.000,20.119.251.983,20.765.503.805,502351822.0,143900000.0,20119251983.0,20765503805.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,3.892.828.012,807.259.461,21.667.639.483,26.367.726.956,3892828012.0,807259461.0,21667639483.0,26367726956.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,485.725.365,220.581.828,101.285.424,807.592.617,485725365.0,220581828.0,101285424.0,807592617.0
- Tăng khác,Giá trị hao mòn lũy kế: > - Tăng khác,- Tăng khác,948.295.294,73.335.963,-,1.021.631.257,948295294.0,73335963.0,,1021631257.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,5.326.848.671,1.101.177.252,21.768.924.907,28.196.950.830,5326848671.0,1101177252.0,21768924907.0,28196950830.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,18.772.371.886,544.340.539,1.231.811.699,20.548.524.124,18772371886.0,544340539.0,1231811699.0,20548524124.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,23.599.815.607,396.195.366,1.130.526.275,25.126.537.248,23599815607.0,396195366.0,1130526275.0,25126537248.0
