row_label_raw,row_label_full,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Hoạt động khai thác trồng rừng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Kinh doanh thương mại gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Bán thành phẩm sản xuất từ gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Doanh thu cung cấp dịch vụ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Khác > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Căn trừ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Hoạt động khai thác trồng rừng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Kinh doanh thương mại gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Bán thành phẩm sản xuất từ gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Doanh thu cung cấp dịch vụ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Khác > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Căn trừ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,118.348.039.979,712.838.444.414,790.193.260.785,100.162.789.879,58.604.867.195,,1.780.147.402.252,118348039979.0,712838444414.0,790193260785.0,100162789879.0,58604867195.0,,1780147402252.0
Tổng doanh thu thuần,Doanh thu > Tổng doanh thu thuần,Tổng doanh thu thuần,118.348.039.979,712.838.444.414,790.193.260.785,100.162.789.879,58.604.867.195,-,1.780.147.402.252,118348039979.0,712838444414.0,790193260785.0,100162789879.0,58604867195.0,,1780147402252.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận (i),Kết quả > Lợi nhuận gộp của bộ phận (i),Lợi nhuận gộp của bộ phận (i),46.956.026.014,22.064.627.856,158.509.243.563,54.579.467.636,9.691.217.403,,291.800.582.472,46956026014.0,22064627856.0,158509243563.0,54579467636.0,9691217403.0,,291800582472.0
"Thu nhập, chi phí không phân bổ","Kết quả > Thu nhập, chi phí không phân bổ","Thu nhập, chi phí không phân bổ",,,,,,,300.144.833.205,,,,,,,300144833205.0
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,591.945.415.677(35.697.559.723),,,,,,,
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,591.945.415.677(35.697.559.723),,,,,,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,(3.047.346.781),,,,,,,-3047346781.0
Lợi nhuận thuần sau thuế,Chi phí thuế TNDN > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,553.200.509.173,,,,,,,553200509173.0
Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,566.036.006.423,92.269.496.667,200.502.095.597,151.547.808.088,147.968.536.287,,1.158.323.943.062,566036006423.0,92269496667.0,200502095597.0,151547808088.0,147968536287.0,,1158323943062.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,,,4.696.765.937.759,,,,,,,4696765937759.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,,5.855.089.880.821,,,,,,,5855089880821.0
Nợ phải trả bộ phận,Tài sản và công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,75.656.932.735,13.874.711.398,94.069.729.560,8.218.846.187,-,,191.820.219.880,75656932735.0,13874711398.0,94069729560.0,8218846187.0,,,191820219880.0
Nợ phải trả không phân bổ (iii),Tài sản và công nợ > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,403.203.873.636,,,,,,,403203873636.0
Tổng nợ phải trả,Tài sản và công nợ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,595.024.093.516,,,,,,,595024093516.0
