row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.849.822.727.619,1.781.458.082.102,1849822727619.0,1781458082102.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ kinh doanh thương mại gỗ,Trong đó: > Doanh thu từ kinh doanh thương mại gỗ,Doanh thu từ kinh doanh thương mại gỗ,733.831.358.711,713.994.905.323,733831358711.0,713994905323.0
Doanh thu từ bán thành phẩm sân xuất từ gỗ,Trong đó: > Doanh thu từ bán thành phẩm sân xuất từ gỗ,Doanh thu từ bán thành phẩm sân xuất từ gỗ,876.368.064.316,790.347.479.726,876368064316.0,790347479726.0
Doanh thu từ hoạt động khai thác rừng trồng,Trong đó: > Doanh thu từ hoạt động khai thác rừng trồng,Doanh thu từ hoạt động khai thác rừng trồng,106.092.304.834,118.348.039.979,106092304834.0,118348039979.0
Doanh thu từ dịch vụ,Trong đó: > Doanh thu từ dịch vụ,Doanh thu từ dịch vụ,103.695.442.102,100.162.789.879,103695442102.0,100162789879.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,29.835.557.656,58.604.867.195,29835557656.0,58604867195.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,860.519.149,1.310.679.850,860519149.0,1310679850.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,453.934.890,1.156.460.909,453934890.0,1156460909.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,406.584.259,154.218.941,406584259.0,154218941.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,1.848.962.208.470,1.780.147.402.252,1848962208470.0,1780147402252.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên khác,Trong đó: > Doanh thu với các bên khác,Doanh thu với các bên khác,1.686.850.408.631,1.541.833.462.491,1686850408631.0,1541833462491.0
Doanh thu với các bên liên quan (Thuyết minh số 36),Trong đó: > Doanh thu với các bên liên quan (Thuyết minh số 36),Doanh thu với các bên liên quan (Thuyết minh số 36),162.111.799.839,238.313.939.761,162111799839.0,238313939761.0
