row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản cố địnhkhác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhkhác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,448.292.001.460,449.642.611.490,54.607.869.516,63.596.978.430,7.624.609.033,1.023.764.069.929,448292001460.0,449642611490.0,54607869516.0,63596978430.0,7624609033.0,1023764069929.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,646.047.178,11.321.097.139,11.061.703.637,324.178.548,-,23.353.026.502,646047178.0,11321097139.0,11061703637.0,324178548.0,,23353026502.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,366.975.200,-,-,-,-,366.975.200,366975200.0,,,,,366975200.0
- Chuyển sang bất động sảnđầu tư,Nguyên giá: > - Chuyển sang bất động sảnđầu tư,- Chuyển sang bất động sảnđầu tư,(108.469.566.871),-,-,-,-,(108.469.566.871),-108469566871.0,,,,,-108469566871.0
- Tăng do hợp nhất kinhdoanh,Nguyên giá: > - Tăng do hợp nhất kinhdoanh,- Tăng do hợp nhất kinhdoanh,18.849.903.424,11.593.405.554,1.025.941.250,630.235.084,-,32.099.485.312,18849903424.0,11593405554.0,1025941250.0,630235084.0,,32099485312.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(487.527.468),(19.077.431.005),(620.804.000),(248.953.910),(286.324.515),(20.721.040.898),-487527468.0,-19077431005.0,-620804000.0,-248953910.0,-286324515.0,-20721040898.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(6.530.513.911),(82.351.260),(929.714),(571.123),(115.216.196),(6.729.582.204),-6530513911.0,-82351260.0,-929714.0,-571123.0,-115216196.0,-6729582204.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,352.667.319.012,453.397.331.918,66.073.780.689,64.301.867.029,7.223.068.322,943.663.366.970,352667319012.0,453397331918.0,66073780689.0,64301867029.0,7223068322.0,943663366970.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,72.406.501.679,266.180.367.860,7.081.132.624,52.869.077.230,-,398.537.079.392,72406501679.0,266180367860.0,7081132624.0,52869077230.0,,398537079392.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
