row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,9.788.139.618,5.236.159.737,9788139618.0,5236159737.0
Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,30.660.368.726,19.454.800.044,30660368726.0,19454800044.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,39.428.085.361,38.182.137.975,39428085361.0,38182137975.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,274.537.477,570.852.000,274537477.0,570852000.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,3.713.783.262,4.419.078.083,3713783262.0,4419078083.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,83.864.914.444,67.863.027.839,83864914444.0,67863027839.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân công,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,127.487.283.231,134.516.179.401,127487283231.0,134516179401.0
Chi phí khấu hao TSCĐ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,10.457.309.051,11.991.707.867,10457309051.0,11991707867.0
"Thuế, phí, và lệ phí","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Thuế, phí, và lệ phí","Thuế, phí, và lệ phí",3.307.044.425,8.631.803.710,3307044425.0,8631803710.0
"Chi phí nguyên liệu, vật liệu","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",3.443.916.959,3.991.938.951,3443916959.0,3991938951.0
Chi phí dự phòng,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dự phòng,Chi phí dự phòng,3.359.680.211,(417.889.661),3359680211.0,-417889661.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,30.149.574.643,21.637.844.325,30149574643.0,21637844325.0
Chi phí khác bằng tiền (*),Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khác bằng tiền (*),Chi phí khác bằng tiền (*),72.511.908.115,57.585.733.680,72511908115.0,57585733680.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,250.716.716.635,237.937.318.273,250716716635.0,237937318273.0
