row_label_raw,row_label_full,Tên đơn vị,Số cuối năm > Tỷ lệ lợi ích(%),Số cuối năm > Tỷ lệ quyềnbiểu quyết(%),Số đầu năm > Tỷ lệ lợi ích(%),Số đầu năm > Tỷ lệ quyềnbiểu quyết(%),numeric__Số cuối năm > Tỷ lệ lợi ích(%),numeric__Số cuối năm > Tỷ lệ quyềnbiểu quyết(%),numeric__Số đầu năm > Tỷ lệ lợi ích(%),numeric__Số đầu năm > Tỷ lệ quyềnbiểu quyết(%)
Công ty Cổ phần Thương mạiCông nghiệp và Chế biến gỗ,Công ty Cổ phần Thương mạiCông nghiệp và Chế biến gỗ,Công ty Cổ phần Thương mạiCông nghiệp và Chế biến gỗ,"29,69%","29,69%","29,69%","29,69%",0.2969,0.2969,0.2969,0.2969
Công ty Cổ phần Formach,Công ty Cổ phần Formach,Công ty Cổ phần Formach,-,-,"27,78%","27,78%",,,0.2778,0.2778
Công ty Cổ phần Tư vấn vàĐầu tư Forprodex,Công ty Cổ phần Tư vấn vàĐầu tư Forprodex,Công ty Cổ phần Tư vấn vàĐầu tư Forprodex,"27,25%","27,25%","27,25%","27,25%",0.2725,0.2725,0.2725,0.2725
Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệpViệt Nam,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệpViệt Nam,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệpViệt Nam,"20,00%","20,00%","20,00%","20,00%",0.2,0.2,0.2,0.2
Công ty TNHH Nguyên liệuGiấy Quy Nhơn,Công ty TNHH Nguyên liệuGiấy Quy Nhơn,Công ty TNHH Nguyên liệuGiấy Quy Nhơn,"22,00%","22,00%","22,00%","22,00%",0.22,0.22,0.22,0.22
Công ty Cổ phần Nguyên liệugiấy và gỗ Tân Thành (*),Công ty Cổ phần Nguyên liệugiấy và gỗ Tân Thành (*),Công ty Cổ phần Nguyên liệugiấy và gỗ Tân Thành (*),"15,56%","30,10%","15,56%","30,10%",0.15560000000000002,0.301,0.15560000000000002,0.301
