row_label_raw,row_label_full,Số dư đầu năm,Năm nay > 72.241.957.658,Đơn vị tính: VND > 70.960.636.702,numeric__Năm nay > 72.241.957.658,numeric__Đơn vị tính: VND > 70.960.636.702
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,9.228.008.376,10.466.101.487,9228008376.0,10466101487.0
Cổ tức chi trả trong năm,Cổ tức chi trả trong năm,Cổ tức chi trả trong năm,(4.557.905.012),(6.281.074.605),-4557905012.0,-6281074605.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,(2.050.793.587),(2.467.586.147),-2050793587.0,-2467586147.0
Giảm khác,Giảm khác,Giảm khác,-,(436.119.779),,-436119779.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,74.861.267.435,72.241.957.658,74861267435.0,72241957658.0
