row_label_raw,row_label_full,Cổ tức SSI 2020 (10%) theo Nghị quyết số 01/2021/NQ-DHDCĐ ngày 22/5/2021 của ĐHDCĐ,Vốn góp của chủ sở hữu > -,Thặng dư vốn cổ phần > -,Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn > -,Cổ phiếu quỹ > -,Chênh lệch đánh giá lai tài sản theo giá trị hợp lý > -,Chênh lệch tỷ giá > -,Quỹ dư trữ bổ sung vốn điều lệ > -,Quỹ dư phòng tài chính và rủi ro nghiệp vụ > -,Lợi nhuận chưa phân phối > (645.860.984.000),Lợi ích cổ đông không kiểm soát > -,Tổng cộng > (645.860.984.000),numeric__Vốn góp của chủ sở hữu > -,numeric__Thặng dư vốn cổ phần > -,numeric__Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn > -,numeric__Cổ phiếu quỹ > -,numeric__Chênh lệch đánh giá lai tài sản theo giá trị hợp lý > -,numeric__Chênh lệch tỷ giá > -,numeric__Quỹ dư trữ bổ sung vốn điều lệ > -,numeric__Quỹ dư phòng tài chính và rủi ro nghiệp vụ > -,numeric__Lợi nhuận chưa phân phối > (645.860.984.000),numeric__Lợi ích cổ đông không kiểm soát > -,numeric__Tổng cộng > (645.860.984.000)
Đánh giá lại tài sản tài chính AFS,Đánh giá lại tài sản tài chính AFS,Đánh giá lại tài sản tài chính AFS,-,-,-,-,929.243.500,-,-,-,-,-,929.243.500,,,,,929243500.0,,,,,,929243500.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,(1.149.759.050),-,-,-,-,-,-,(1.149.759.050),,,,-1149759050.0,,,,,,,-1149759050.0
Trích quỹ dự trữ điều lệ 5% LNST theo Nghị Quyết Đại hồi đồng Cổ đông (“DHDCĐ”),Trích quỹ dự trữ điều lệ 5% LNST theo Nghị Quyết Đại hồi đồng Cổ đông (“DHDCĐ”),Trích quỹ dự trữ điều lệ 5% LNST theo Nghị Quyết Đại hồi đồng Cổ đông (“DHDCĐ”),-,-,-,-,-,-,58.252.419.507,-,(58.252.419.507),-,-,,,,,,,58252419507.0,,-58252419507.0,,
Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% lợi nhuận sau thuế theo Nghị Quyết ĐHDCĐ,Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% lợi nhuận sau thuế theo Nghị Quyết ĐHDCĐ,Trích quỹ dự phòng tài chính và rủi ro nghiệp vụ 5% lợi nhuận sau thuế theo Nghị Quyết ĐHDCĐ,-,-,-,-,-,-,-,58.252.419.507,(58.252.419.507),-,-,,,,,,,,58252419507.0,-58252419507.0,,
"Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo Nghị Quyết ĐHDCĐ","Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo Nghị Quyết ĐHDCĐ","Trích quỹ từ thiện, quỹ phúc lợi và khen thưởng theo Nghị Quyết ĐHDCĐ",-,-,-,-,-,-,-,-,(81.553.387.310),-,(81.553.387.310),,,,,,,,,-81553387310.0,,-81553387310.0
Chênh lệch tỷ giá chuyển đổi bảo cáo tài chính công ty con phát sinh trong năm,Chênh lệch tỷ giá chuyển đổi bảo cáo tài chính công ty con phát sinh trong năm,Chênh lệch tỷ giá chuyển đổi bảo cáo tài chính công ty con phát sinh trong năm,-,-,-,-,-,(5.753.060.721),-,-,-,-,(5.753.060.721),,,,,,-5753060721.0,,,,,-5753060721.0
Điều chính do công ty liên kết thay đổi tỷ lệ sở hữu tại công ty con của công ty liên kết,Điều chính do công ty liên kết thay đổi tỷ lệ sở hữu tại công ty con của công ty liên kết,Điều chính do công ty liên kết thay đổi tỷ lệ sở hữu tại công ty con của công ty liên kết,-,-,-,-,-,-,-,-,31.957.963.865,-,31.957.963.865,,,,,,,,,31957963865.0,,31957963865.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,-,1.311.406.840,-,1.311.406.840,,,,,,,,,1311406840.0,,1311406840.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,-,-,-,-,-,-,-,-,846.243.231,(846.243.231),-,,,,,,,,,846243231.0,-846243231.0,
Số cuối năm,Số cuối năm,Số cuối năm,9.847.500.220.000,817.169.133.373,-,(21.983.912.738),(3.793.033.106),33.624.236.089,61.252.419.507,495.932.169.472,2.927.812.985.141,62.568.512.410,14.220.082.730.148,9847500220000.0,817169133373.0,,-21983912738.0,-3793033106.0,33624236089.0,61252419507.0,495932169472.0,2927812985141.0,62568512410.0,14220082730148.0
