row_label_raw,row_label_full,Số đầu năm > Mua trong năm > Thanh lý một phần công ty liên kết trong năm,Năm nay > 785.069.409.790 > 56.242.200.000 > (283.338.631.192),Đơn vị tính: VNDNăm trước > 794.315.339.944 > - > (25.550.058.810),numeric__Năm nay > 785.069.409.790 > 56.242.200.000 > (283.338.631.192),numeric__Đơn vị tính: VNDNăm trước > 794.315.339.944 > - > (25.550.058.810)
Điều chỉnh do công ty liên kết thay đổi tỷ lệ sở hữu tại công ty con của công ty liên kết,Điều chỉnh do công ty liên kết thay đổi tỷ lệ sở hữu tại công ty con của công ty liên kết,Điều chỉnh do công ty liên kết thay đổi tỷ lệ sở hữu tại công ty con của công ty liên kết,31.957.963.865,-,31957963865.0,
Chênh lệch do công ty liên kết thay đổi số lượng cổ phiếu lưu hành,Chênh lệch do công ty liên kết thay đổi số lượng cổ phiếu lưu hành,Chênh lệch do công ty liên kết thay đổi số lượng cổ phiếu lưu hành,-,(7.822.160.099),,-7822160099.0
Lãi từ công ty liên kết ghi nhận vào báo cáo kết quả hoạt động hợp nhất trong năm,Lãi từ công ty liên kết ghi nhận vào báo cáo kết quả hoạt động hợp nhất trong năm,Lãi từ công ty liên kết ghi nhận vào báo cáo kết quả hoạt động hợp nhất trong năm,33.537.927.279,20.537.702.917,33537927279.0,20537702917.0
- Phần chia sẻ lãi trong năm,- Phần chia sẻ lãi trong năm,- Phần chia sẻ lãi trong năm,33.537.927.279,20.537.702.917,33537927279.0,20537702917.0
Cổ tức thực nhận,Cổ tức thực nhận,Cổ tức thực nhận,(20.979.459.500),-,-20979459500.0,
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,3.588.585.838,,3588585838.0
Số cuối năm,Số cuối năm,Số cuối năm,602.489.410.242,785.069.409.790,602489410242.0,785069409790.0
