row_label_raw,row_label_full,CHỈ TIỀU,Thuyết minh,Số dư đầu năm > Ngày 1 tháng 1 năm 2020 > VND,Số dư đầu năm > Ngày 1 tháng 1 năm 2021 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2020 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2021 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2020 > VND,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm 2021 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2020 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2021 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,5.224.760.213.535,6.138.044.019.034,913.283.805.499,-,4.634.136.014.323,(129.494.592.722),6.138.044.019.034,10.642.685.440.635,,5224760213535.0,6138044019034.0,913283805499.0,,4634136014323.0,-129494592722.0,6138044019034.0,10642685440635.0
1.1.Cổ phiếu phổ thông,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.1.Cổ phiếu phổ thông,1.1.Cổ phiếu phổ thông,29.2,5.100.636.840.000,6.029.456.130.000,928.819.290.000,-,3.818.044.090.000,-,6.029.456.130.000,9.847.500.220.000,292.0,5100636840000.0,6029456130000.0,928819290000.0,,3818044090000.0,,6029456130000.0,9847500220000.0
1.2.Thắng dư vốn cổ phần,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.2.Thắng dư vốn cổ phần,1.2.Thắng dư vốn cổ phần,,29.470.756.034,29.470.756.034,-,-,817.241.683.373,(29.543.306.034),29.470.756.034,817.169.133.373,,29470756034.0,29470756034.0,,,817241683373.0,-29543306034.0,29470756034.0,817169133373.0
1.3.Quyền chọn chuyển đổi trải phiếu – Cấu phần vốn,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.3.Quyền chọn chuyển đổi trải phiếu – Cấu phần vốn,1.3.Quyền chọn chuyển đổi trải phiếu – Cấu phần vốn,,113.779.095.785,113.779.095.785,-,-,-,(113.779.095.785),113.779.095.785,-,,113779095785.0,113779095785.0,,,,-113779095785.0,113779095785.0,
1.4.Cổ phiếu quỹ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.4.Cổ phiếu quỹ,1.4.Cổ phiếu quỹ,,(19.126.478.284),(34.661.962.785),(15.535.484.501),-,(1.149.759.050),13.827.809.097,(34.661.962.785),(21.983.912.738),,-19126478284.0,-34661962785.0,-15535484501.0,,-1149759050.0,13827809097.0,-34661962785.0,-21983912738.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,477.303.674.335,522.187.344.649,44.883.670.314,-,58.252.419.507,(519.187.344.649),522.187.344.649,61.252.419.507,,477303674335.0,522187344649.0,44883670314.0,,58252419507.0,-519187344649.0,522187344649.0,61252419507.0
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,392.796.079.651,437.679.749.965,44.883.670.314,-,58.252.419.507,-,437.679.749.965,495.932.169.472,,392796079651.0,437679749965.0,44883670314.0,,58252419507.0,,437679749965.0,495932169472.0
4. Chênh lệch đánh giá lại tài sản theo giả trị hợp lý,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 4. Chênh lệch đánh giá lại tài sản theo giả trị hợp lý,4. Chênh lệch đánh giá lại tài sản theo giả trị hợp lý,,259.495.169.033,(4.722.276.606),30.859.762.724,(295.077.208.363),929.243.500,-,(4.722.276.606),(3.793.033.106),,259495169033.0,-4722276606.0,30859762724.0,-295077208363.0,929243500.0,,-4722276606.0,-3793033106.0
5. Chênh lệch tỷ giá hối đoái,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 5. Chênh lệch tỷ giá hối đoái,5. Chênh lệch tỷ giá hối đoái,,40.382.194.252,39.377.296.810,-,(1.004.897.442),-,(5.753.060.721),39.377.296.810,33.624.236.089,,40382194252.0,39377296810.0,,-1004897442.0,,-5753060721.0,39377296810.0,33624236089.0
6. Lợi nhuận chưa phân phối,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 6. Lợi nhuận chưa phân phối,6. Lợi nhuận chưa phân phối,,2.941.467.041.881,2.676.816.162.826,1.746.848.419.947,(2.011.499.299.002),3.100.113.975.143,(2.849.117.152.828),2.676.816.162.826,2.927.812.985.141,,2941467041881.0,2676816162826.0,1746848419947.0,-2011499299002.0,3100113975143.0,-2849117152828.0,2676816162826.0,2927812985141.0
6.1.Lợi nhuận đã thực hiện,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 6.1.Lợi nhuận đã thực hiện,6.1.Lợi nhuận đã thực hiện,29.1,,,,,,,,,291.0,,,,,,,,
6.2.Lợi nhuận chưa thực hiện,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 6.2.Lợi nhuận chưa thực hiện,6.2.Lợi nhuận chưa thực hiện,29.1,3.194.600.794.526,2.660.148.273.194,992.892.632.395,(1.527.345.153.727),2.584.889.227.021,(2.446.228.525.776),2.660.148.273.194,2.798.808.974.439,291.0,3194600794526.0,2660148273194.0,992892632395.0,-1527345153727.0,2584889227021.0,-2446228525776.0,2660148273194.0,2798808974439.0
7. Lợi ích cổ đông không kiểm soát,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 7. Lợi ích cổ đông không kiểm soát,7. Lợi ích cổ đông không kiểm soát,,(253.133.752.645),16.667.889.632,753.955.787.552,(484.154.145.275),515.224.748.122,(402.888.627.052),16.667.889.632,129.004.010.702,,-253133752645.0,16667889632.0,753955787552.0,-484154145275.0,515224748122.0,-402888627052.0,16667889632.0,129004010702.0
,,,,64.855.407.518,63.414.755.641,-,(1.440.651.877),-,(846.243.231),63.414.755.641,62.568.512.410,,64855407518.0,63414755641.0,,-1440651877.0,,-846243231.0,63414755641.0,62568512410.0
TỔNG CỘNG,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > TỔNG CỘNG,TỔNG CỘNG,,9.401.059.780.205,9.872.797.052.319,2.780.759.328.798,(2.309.022.056.684),7.851.684.071.980,(3.504.398.394.151),9.872.797.052.319,14.220.082.730.148,,9401059780205.0,9872797052319.0,2780759328798.0,-2309022056684.0,7851684071980.0,-3504398394151.0,9872797052319.0,14220082730148.0
