row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,12.016.161.724.823,55.450.720.111,(48.520.653.297),12.023.091.791.637,13.208.612.928.755,129.157.925.401,(85.317.345.075),13.252.453.509.081,12016161724823.0,55450720111.0,-48520653297.0,12023091791637.0,13208612928755.0,129157925401.0,-85317345075.0,13252453509081.0
Cổ phiếu vàchứng khoànniêm yết,Cổ phiếu vàchứng khoànniêm yết,Cổ phiếu vàchứng khoànniêm yết,1.072.947.011.732,44.805.763.899,(15.484.378.771),1.102.268.396.860,1.509.746.467.717,101.897.135.034,(65.551.660.691),1.546.091.942.060,1072947011732.0,44805763899.0,-15484378771.0,1102268396860.0,1509746467717.0,101897135034.0,-65551660691.0,1546091942060.0
Cổ phiếu niêmyết cho hoạtđồng phòngngửa rủi rocủa chứngquyền,Cổ phiếu niêmyết cho hoạtđồng phòngngửa rủi rocủa chứngquyền,Cổ phiếu niêmyết cho hoạtđồng phòngngửa rủi rocủa chứngquyền,756.070.971.658,10.644.956.223,(13.225.591.381),753.490.336.500,497.988.719.529,27.260.790.367,(208.766.296),525.040.743.600,756070971658.0,10644956223.0,-13225591381.0,753490336500.0,497988719529.0,27260790367.0,-208766296.0,525040743600.0
Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,104.339.454.012,-,(19.810.683.145),84.528.770.867,54.082.228.373,-,(19.556.918.088),34.525.310.285,104339454012.0,,-19810683145.0,84528770867.0,54082228373.0,,-19556918088.0,34525310285.0
Trái phiếuniêm yết,Trái phiếuniêm yết,Trái phiếuniêm yết,100.074.600.000,-,-,100.074.600.000,-,-,-,-,100074600000.0,,,100074600000.0,,,,
Trái phiếuchưa niêm yết,Trái phiếuchưa niêm yết,Trái phiếuchưa niêm yết,3.209.941.475.120,-,-,3.209.941.475.120,2.282.847.114.683,-,-,2.282.847.114.683,3209941475120.0,,,3209941475120.0,2282847114683.0,,,2282847114683.0
Chứng chỉ tiềngthửi,Chứng chỉ tiềngthửi,Chứng chỉ tiềngthửi,6.772.788.212.290,-,-,6.772.788.212.290,8.863.948.398.453,-,-,8.863.948.398.453,6772788212290.0,,,6772788212290.0,8863948398453.0,,,8863948398453.0
AFS,AFS,AFS,276.320.839.159,-,(4.741.291.390),271.579.547.769,191.347.164.707,-,(5.670.534.889),185.676.629.818,276320839159.0,,-4741291390.0,271579547769.0,191347164707.0,,-5670534889.0,185676629818.0
Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,276.320.839.159,-,(4.741.291.390),271.579.547.769,191.347.164.707,-,(5.670.534.889),185.676.629.818,276320839159.0,,-4741291390.0,271579547769.0,191347164707.0,,-5670534889.0,185676629818.0
Tổng công,Tổng công,Tổng công,12.292.482.563.982,55.450.720.111,(53.261.944.687),12.294.671.339.406,13.399.960.093.462,129.157.925.401,(90.987.879.964),13.438.130.138.899,12292482563982.0,55450720111.0,-53261944687.0,12294671339406.0,13399960093462.0,129157925401.0,-90987879964.0,13438130138899.0
