row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2021,Quá hạn (bao gồm số dư đã trich lập dư phòng) > Ngày 31 tháng 12 năm 2021,Không kỳ hạn > Ngày 31 tháng 12 năm 2021,Đến 01 năm > Ngày 31 tháng 12 năm 2021,Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2021,Trên 05 năm > Ngày 31 tháng 12 năm 2021,Tổng cộng > Ngày 31 tháng 12 năm 2021,numeric__Quá hạn (bao gồm số dư đã trich lập dư phòng) > Ngày 31 tháng 12 năm 2021,numeric__Không kỳ hạn > Ngày 31 tháng 12 năm 2021,numeric__Đến 01 năm > Ngày 31 tháng 12 năm 2021,numeric__Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2021,numeric__Trên 05 năm > Ngày 31 tháng 12 năm 2021,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2021
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,474.197.771.229,640.037.260.272,-,-,1.114.235.031.501,,474197771229.0,640037260272.0,,,1114235031501.0
Tài sản tài chính,TÀI SẢN > Tài sản tài chính,Tài sản tài chính,30.143.113.214,13.240.018.381.209,30.556.556.994.800,-,3.689.345.130.340,47.516.063.619.563,30143113214.0,13240018381209.0,30556556994800.0,,3689345130340.0,47516063619563.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ,TÀI SẢN > Tài sản tài chính ghi nhận thông qua lãi/lỗ,Tài sản tài chính ghi nhận thông qua lãi/lỗ,-,12.023.091.791.637,-,-,-,12.023.091.791.637,,12023091791637.0,,,,12023091791637.0
Giữ đến ngày đáo hạn,TÀI SẢN > Giữ đến ngày đáo hạn,Giữ đến ngày đáo hạn,-,-,7.834.159.908.363,-,3.086.855.720.098,10.921.015.628.461,,,7834159908363.0,,3086855720098.0,10921015628461.0
Các khoản cho vay,TÀI SẢN > Các khoản cho vay,Các khoản cho vay,30.143.113.214,945.347.041.803,22.722.397.086.437,-,-,23.697.887.241.454,30143113214.0,945347041803.0,22722397086437.0,,,23697887241454.0
Sẵn sàng để bán,TÀI SẢN > Sẵn sàng để bán,Sẵn sàng để bán,-,271.579.547.769,-,-,-,271.579.547.769,,271579547769.0,,,,271579547769.0
Gộp vốn đầu tư dài hạn,TÀI SẢN > Gộp vốn đầu tư dài hạn,Gộp vốn đầu tư dài hạn,-,-,-,-,602.489.410.242,602.489.410.242,,,,,602489410242.0,602489410242.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,244.874.879.748,416.154.302.652,-,223.892.520.471,233.184.318.475,1.118.106.021.346,244874879748.0,416154302652.0,,223892520471.0,233184318475.0,1118106021346.0
"Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > Các khoản cầm cố, ký quỹ, ký cược","Các khoản cầm cố, ký quỹ, ký cược",,36.419.285.840,-,-,-,36.419.285.840,,36419285840.0,,,,36419285840.0
