row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Giá bán bình quân VND/đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lỗ bán chứng khoán năm nay VND,Lỗ bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Giá bán bình quân VND/đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lỗ bán chứng khoán năm nay VND,numeric__Lỗ bán chứng khoán năm trước VND
II,II,II,LỔ BÁN,LỔ BÁN,LỔ BÁN,LỔ BÁN,LỔ BÁN,LỔ BÁN,LỔ BÁN,,,,,,,
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết,286.631.182,,6.183.316.873.583,6.779.193.539.514,(595.876.665.931),(399.379.283.319),,286631182.0,,6183316873583.0,6779193539514.0,-595876665931.0,-399379283319.0
1,II > 1,1,ELC,4.225.400,14.372,60.729.348.000,89.759.291.923,(29.029.943.923),(69.485.547.489),,4225400.0,14372.0,60729348000.0,89759291923.0,-29029943923.0,-69485547489.0
1,II > 1,1,HPG,13.725.108,45.734,627.701.491.800,679.077.095.294,(51.375.603.494),(19.889.445.974),,13725108.0,45734.0,627701491800.0,679077095294.0,-51375603494.0,-19889445974.0
1,II > 1,1,VIC,2.286.700,102.007,233.258.380.000,245.484.848.273,(12.226.468.273),(1.312.430.980),,2286700.0,102007.0,233258380000.0,245484848273.0,-12226468273.0,-1312430980.0
1,II > 1,1,VPB,5.372.800,41.570,223.347.675.000,234.121.462.279,(10.773.787.279),(4.194.045.808),,5372800.0,41570.0,223347675000.0,234121462279.0,-10773787279.0,-4194045808.0
1,II > 1,1,Chứng quyền do Công ty phát hành,169.547.070,,1.265.038.091.768,1.615.486.262.780,(350.448.171.012),(63.941.271.323),,169547070.0,,1265038091768.0,1615486262780.0,-350448171012.0,-63941271323.0
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết khác,91.474.104,,3.773.241.887.015,3.915.264.578.965,(142.022.691.950),(240.556.541.745),,91474104.0,,3773241887015.0,3915264578965.0,-142022691950.0,-240556541745.0
2,II > 2,2,Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,425.571,,33.995.462.622,34.668.183.980,(672.721.358),-,,425571.0,,33995462622.0,34668183980.0,-672721358.0,
3,II > 3,3,Trái phiếu niêm yết,80.600.000,,8.417.962.500.000,8.421.249.000.000,(3.286.500.000),(2.375.550.000),,80600000.0,,8417962500000.0,8421249000000.0,-3286500000.0,-2375550000.0
4,II > 4,4,Trái phiếu và chứng khoán chưa niêm yết,12.489,,10.605.025.016.173,10.688.095.600.477,(83.070.584.304),(48.630.734.070),,12489.0,,10605025016173.0,10688095600477.0,-83070584304.0,-48630734070.0
5,II > 5,5,Lỗ vị thế của hợp đồng CKPS,,,,,(312.210.422.000),(87.531.037.000),,,,,,-312210422000.0,-87531037000.0
,,,Tổng cộng,367.669.242,,25.240.299.852.378,25.923.206.323.971,(995.116.893.593),(537.916.604.389),,367669242.0,,25240299852378.0,25923206323971.0,-995116893593.0,-537916604389.0
