row_label_raw,row_label_full,Tài sản,Số cuối năm,Số đầu năm,Mục đíchđảm bảo,numeric__Số cuối năm,numeric__Số đầu năm,numeric__Mục đíchđảm bảo
Ngắn hạn,Ngắn hạn,Ngắn hạn,14.690.785.000.000,16.360.550.000.000,,14690785000000.0,16360550000000.0,
Tài sản tài chính FVTPL - tính theo mệnh giá (Thuyết minh số 7.1),Tài sản tài chính FVTPL - tính theo mệnh giá (Thuyết minh số 7.1),Tài sản tài chính FVTPL - tính theo mệnh giá (Thuyết minh số 7.1),6.939.000.000.000,10.768.000.000.000,Các khoảnvay ngắn hạn,6939000000000.0,10768000000000.0,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,59.000.000.000,18.000.000.000,,59000000000.0,18000000000.0,
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,780.000.000.000,2.000.000.000.000,,780000000000.0,2000000000000.0,
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,6.100.000.000.000,8.750.000.000.000,,6100000000000.0,8750000000000.0,
Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),6.560.000.000.000,4.400.000.000.000,Các khoảnvay ngắn hạn,6560000000000.0,4400000000000.0,
Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),750.000.000.000,800.000.000.000,Các khoảnvay ngắn hạn,750000000000.0,800000000000.0,
Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),98.250.000.000,292.550.000.000,Chứng quyền,98250000000.0,292550000000.0,
Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),343.535.000.000,-,Chứng quyền,343535000000.0,,
Tiền gửi có kỳ hạn gốc không quá 3 tháng (Thuyết minh số 5),Tiền gửi có kỳ hạn gốc không quá 3 tháng (Thuyết minh số 5),Tiền gửi có kỳ hạn gốc không quá 3 tháng (Thuyết minh số 5),-,100.000.000.000,Chứng quyền,,100000000000.0,
Dài hạn,Dài hạn,Dài hạn,3.265.801.200.000,5.728.801.200.000,,3265801200000.0,5728801200000.0,
Trái phiếu có kỳ hạn còn lại trên 1 năm - tính theo mệnh giá (Thuyết minh số 11),Trái phiếu có kỳ hạn còn lại trên 1 năm - tính theo mệnh giá (Thuyết minh số 11),Trái phiếu có kỳ hạn còn lại trên 1 năm - tính theo mệnh giá (Thuyết minh số 11),3.000.000.000.000,3.400.000.000.000,Các khoảnvay ngắn hạn,3000000000000.0,3400000000000.0,
Tiền gửi có kỳ hạn còn lại trên 1 năm (Thuyết minh số 11),Tiền gửi có kỳ hạn còn lại trên 1 năm (Thuyết minh số 11),Tiền gửi có kỳ hạn còn lại trên 1 năm (Thuyết minh số 11),-,2.000.000.000.000,Các khoảnvay ngắn hạn,,2000000000000.0,
Đầu tư vào công ty liên kết - tính theo mệnh giá (Thuyết minh số 11),Đầu tư vào công ty liên kết - tính theo mệnh giá (Thuyết minh số 11),Đầu tư vào công ty liên kết - tính theo mệnh giá (Thuyết minh số 11),265.801.200.000,328.801.200.000,Các khoảnvay ngắn hạn,265801200000.0,328801200000.0,
Tổng cộng,Tổng cộng,Tổng cộng,17.956.586.200.000,22.089.351.200.000,,17956586200000.0,22089351200000.0,
