row_label_raw,row_label_full,Công ty liên quan > Quỹ Đầu tư công nghệ số Việt Nam,Giao dịch > Góp vốn theo phương pháp vốn chủ sở hữu,Phải thu/(phải trả) > Số đầu năm > -,Phải thu/(phải trả) > Tăng trong năm > 10.042.652.181,Phải thu/(phải trả) > Giảm trong năm > -,Phải thu/(phải trả) > Số cuối năm > 10.042.652.181,Đơn vị tính: VNDDoanh thu(chi phí) > 42.652.181,numeric__Giao dịch > Góp vốn theo phương pháp vốn chủ sở hữu,numeric__Phải thu/(phải trả) > Số đầu năm > -,numeric__Phải thu/(phải trả) > Tăng trong năm > 10.042.652.181,numeric__Phải thu/(phải trả) > Giảm trong năm > -,numeric__Phải thu/(phải trả) > Số cuối năm > 10.042.652.181,numeric__Đơn vị tính: VNDDoanh thu(chi phí) > 42.652.181
Công ty Cổ phần Công Thắng Alpha,Công ty Cổ phần Công Thắng Alpha,Công ty Cổ phần Công Thắng Alpha,Góp vốn theo phương pháp vốn chủ sở hữu,-,22.929.700.000,(6.405.864.237),16.523.835.763,(1.035.364.237),,,22929700000.0,-6405864237.0,16523835763.0,-1035364237.0
Công ty Cổ phần Đầu tư KAC,Công ty Cổ phần Đầu tư KAC,Công ty Cổ phần Đầu tư KAC,Góp vốn theo phương pháp vốn chủ sở hữu,-,23.312.500.000,(6.525.380.334),16.787.119.666,(275.380.334),,,23312500000.0,-6525380334.0,16787119666.0,-275380334.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Nhận hợp đồng quản lý tiền gửi và khác,(229.716.891.035),(2.285.214.861.113),2.225.050.130.157,(289.881.621.991),-,,-229716891035.0,-2285214861113.0,2225050130157.0,-289881621991.0,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Lãi hợp đồng quản lý tiền gửi phải trả và khác,(621.478.748),(10.470.267.838),10.740.530.426,(351.216.160),(10.470.267.838),,-621478748.0,-10470267838.0,10740530426.0,-351216160.0,-10470267838.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,1.726.760.211,(1.726.760.211),-,1.726.760.211,,,1726760211.0,-1726760211.0,,1726760211.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Chi phí mua hàng hóa,-,(3.827.900.000),3.827.900.000,-,(3.827.900.000),,,-3827900000.0,3827900000.0,,-3827900000.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Góp vốn theo phương pháp vốn chủ sở hữu,750.597.292.625,68.894.140.211,(294.827.747.374),524.663.685.462,34.806.019.669,,750597292625.0,68894140211.0,-294827747374.0,524663685462.0,34806019669.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Phải trả khác,-,(6.618.729.339),6.618.729.339,-,-,,,-6618729339.0,6618729339.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Giao dịch bán chứng khoán,-,7.849.461.334.000,(7.849.461.334.000),-,17.887.200.136,,,7849461334000.0,-7849461334000.0,,17887200136.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Giao dịch mua chứng khoán,-,(5.652.465.421.000),5.652.465.421.000,-,-,,,-5652465421000.0,5652465421000.0,,
