row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng,Số cuối năm > Giá mua,Số cuối năm > Giá trị giảm giá,Số đầu năm > Số lượng,Số đầu năm > Giá mua,Số đầu năm > Giá trị giảm giá,numeric__Số cuối năm > Số lượng,numeric__Số cuối năm > Giá mua,numeric__Số cuối năm > Giá trị giảm giá,numeric__Số đầu năm > Số lượng,numeric__Số đầu năm > Giá mua,numeric__Số đầu năm > Giá trị giảm giá
MBB,MBB,MBB,-,-,-,32.600,753.060.000,(3.260.000),,,,32600.0,753060000.0,-3260000.0
SCI,SCI,SCI,34.100,1.398.100.000,(146.630.000),-,-,-,34100.0,1398100000.0,-146630000.0,,,
DPR,DPR,DPR,115.300,9.130.555.489,(771.305.489),-,-,-,115300.0,9130555489.0,-771305489.0,,,
HLM,HLM,HLM,55.625,11.013.850.000,(11.013.850.000 ),55.625,11.013.850.000,(11.013.850.000),55625.0,11013850000.0,,55625.0,11013850000.0,-11013850000.0
RICONS,RICONS,RICONS,1.216,130.311.996,(51.271.996 ),101.216,8.130.411.996,(382.327.196),1216.0,130311996.0,,101216.0,8130411996.0,-382327196.0
OCB,OCB,OCB,41.000,1.128.635.290,(9.335.290),-,-,-,41000.0,1128635290.0,-9335290.0,,,
GEX,GEX,GEX,-,-,-,148.530,3.463.585.923,(121.660.923),,,,148530.0,3463585923.0,-121660923.0
SIP,SIP,SIP,-,-,-,22.900,4.115.626.973,(110.416.973),,,,22900.0,4115626973.0,-110416973.0
Khác,Khác,Khác,8.254.448,665.839.669.213,(4.617.464.580),240.400,10.327.416.295,(180.076.295),8254448.0,665839669213.0,-4617464580.0,240400.0,10327416295.0,-180076295.0
Tổng,Tổng,Tổng,8.501.689,688.641.121.988,(16.609.857.355),601.271,37.803.951.187,(11.811.591.387),8501689.0,688641121988.0,-16609857355.0,601271.0,37803951187.0,-11811591387.0
