row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Đơn vị tính: VND > Số đầu năm > Giá gốc,Đơn vị tính: VND > Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Đơn vị tính: VND > Số đầu năm > Giá gốc,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị hợp lý
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,276.320.839.159,271.579.547.769,191.347.164.707,185.676.629.818,276320839159.0,271579547769.0,191347164707.0,185676629818.0
CTCP PAN Farm,CTCP PAN Farm,CTCP PAN Farm,53.408.921.300,53.408.921.300,53.408.921.300,53.408.921.300,53408921300.0,53408921300.0,53408921300.0,53408921300.0
CTCP ConCung,CTCP ConCung,CTCP ConCung,40.007.139.216,40.007.139.216,55.073.516.809,55.073.516.809,40007139216.0,40007139216.0,55073516809.0,55073516809.0
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,182.904.778.643,178.163.487.253,82.864.726.598,77.194.191.709,182904778643.0,178163487253.0,82864726598.0,77194191709.0
Tổng cộng,Tổng cộng,Tổng cộng,276.320.839.159,271.579.547.769,191.347.164.707,185.676.629.818,276320839159.0,271579547769.0,191347164707.0,185676629818.0
