row_label_raw,row_label_full,Các khoản đầu tư nắm giữ đến ngày đáo hạn (1) > - Tiền gửi có kỳ hạn còn lại trên 1 năm > - Trái phiếu nằm giữ đến ngày đáo hạn,Tỷ lệ biểu quyết của Công ty,Hình thức sở hữu,Số cuối năm VND > 3.086.855.720.098 > - > 3.086.855.720.098,Số đầu năm VND > 5.464.741.128.665 > 2.000.415.894.298 > 3.464.325.234.367,numeric__Tỷ lệ biểu quyết của Công ty,numeric__Hình thức sở hữu,numeric__Số cuối năm VND > 3.086.855.720.098 > - > 3.086.855.720.098,numeric__Số đầu năm VND > 5.464.741.128.665 > 2.000.415.894.298 > 3.464.325.234.367
"Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)",,,602.489.410.242,785.069.409.790,,,602489410242.0,785069409790.0
- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),"12,73%",Trực tiếp,559.135.802.632,785.069.409.790,0.1273,,559135802632.0,785069409790.0
- Công ty Cổ phần Công Thắng Alpha,- Công ty Cổ phần Công Thắng Alpha,- Công ty Cổ phần Công Thắng Alpha,"48,90%",Gián tiếp qua công ty con,16.523.835.763,-,0.489,,16523835763.0,
- Công ty Cổ phần Đầu tư KAC,- Công ty Cổ phần Đầu tư KAC,- Công ty Cổ phần Đầu tư KAC,"46,70%",Gián tiếp qua công ty con,16.787.119.666,-,0.467,,16787119666.0,
- Quỹ Đầu tư Công Nghệ số Việt Nam,- Quỹ Đầu tư Công Nghệ số Việt Nam,- Quỹ Đầu tư Công Nghệ số Việt Nam,"20,00%",Trực tiếp,10.042.652.181,-,0.2,,10042652181.0,
Tổng cộng,Tổng cộng,Tổng cộng,,,3.689.345.130.340,6.249.810.538.455,,,3689345130340.0,6249810538455.0
