row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,4.224.000.000.000,74.872.484.114,(13.698.103.037),44.328.129.224,1.190.534.474.357,5.520.036.984.658,4224000000000.0,74872484114.0,-13698103037.0,44328129224.0,1190534474357.0,5520036984658.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.282.463.513.110,1.282.463.513.110,,,,,1282463513110.0,1282463513110.0
Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),-,-,-,-,(760.320.000.000),(760.320.000.000),,,,,-760320000000.0,-760320000000.0
Tạm ứng cổ tức (thuyết minh 23),Tạm ứng cổ tức (thuyết minh 23),Tạm ứng cổ tức (thuyết minh 23),-,-,-,-,(211.200.000.000),(211.200.000.000),,,,,-211200000000.0,-211200000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,53.881.687.427,-,(53.881.687.427),-,-,,53881687427.0,,-53881687427.0,,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,15.000.000.000,(15.000.000.000),-,,,,15000000000.0,-15000000000.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(17.905.078.450),(17.905.078.450),,,,,-17905078450.0,-17905078450.0
Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),-,-,(34.350.995.732),-,-,(34.350.995.732),,,-34350995732.0,,,-34350995732.0
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,4.224.000.000.000,128.754.171.541,(48.049.098.769),5.446.441.797,1.468.572.909.017,5.778.724.423.586,4224000000000.0,128754171541.0,-48049098769.0,5446441797.0,1468572909017.0,5778724423586.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.047.755.523.997,1.047.755.523.997,,,,,1047755523997.0,1047755523997.0
Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),Cổ tức (thuyết minh 23),-,-,-,-,(718.080.000.000),(718.080.000.000),,,,,-718080000000.0,-718080000000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,274.021.476.654,-,(274.021.476.654),-,-,,274021476654.0,,-274021476654.0,,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,384.739.053.933,(384.739.053.933),-,,,,384739053933.0,-384739053933.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(17.655.000.000),(17.655.000.000),,,,,-17655000000.0,-17655000000.0
Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),Chênh lệch tỷ giá hối đoái (thuyết minh 22),-,-,39.596.498.429,-,-,39.596.498.429,,,39596498429.0,,,39596498429.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,4.224.000.000.000,402.775.648.195,(8.452.600.340),116.164.019.076,1.395.854.379.081,6.130.341.446.012,4224000000000.0,402775648195.0,-8452600340.0,116164019076.0,1395854379081.0,6130341446012.0
