row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.012.886.573.937,4.087.541.587.349,59.412.319.362,44.016.241.138,253.880.507,12.204.110.602.293,8012886573937.0,4087541587349.0,59412319362.0,44016241138.0,253880507.0,12204110602293.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,54.564.812.600,2.534.299.091,2.440.201.763,-,59.539.313.454,,54564812600.0,2534299091.0,2440201763.0,,59539313454.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,446.269.182.825,1.508.239.586.313,10.563.051.058,3.471.567.173,-,1.968.543.387.369,446269182825.0,1508239586313.0,10563051058.0,3471567173.0,,1968543387369.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(3.912.000),-,-,-,(3.912.000),,-3912000.0,,,,-3912000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.459.155.756.762,5.650.342.074.262,72.509.669.511,49.928.010.074,253.880.507,14.232.189.391.116,8459155756762.0,5650342074262.0,72509669511.0,49928010074.0,253880507.0,14232189391116.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.532.034.965.200,4.016.908.528.096,46.450.996.058,42.934.309.299,253.880.507,8.638.582.679.160,4532034965200.0,4016908528096.0,46450996058.0,42934309299.0,253880507.0,8638582679160.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,195.608.030.730,96.391.848.184,3.372.672.904,1.685.865.196,-,297.058.417.014,195608030730.0,96391848184.0,3372672904.0,1685865196.0,,297058417014.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.727.642.995.930,4.113.300.376.280,49.823.668.962,44.620.174.495,253.880.507,8.935.641.096.174,4727642995930.0,4113300376280.0,49823668962.0,44620174495.0,253880507.0,8935641096174.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.480.851.608.737,70.633.059.253,12.961.323.304,1.081.931.839,-,3.565.527.923.133,3480851608737.0,70633059253.0,12961323304.0,1081931839.0,,3565527923133.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.731.512.760.832,1.537.041.697.982,22.686.000.549,5.307.835.579,-,5.296.548.294.942,3731512760832.0,1537041697982.0,22686000549.0,5307835579.0,,5296548294942.0
