row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Đơn vị tính: VND Tổng cộng
Tăng trong năm,Giá trị hao mòn: > Tăng trong năm,Tăng trong năm,124.908.223.290,295.852.503.735,234.785.882.524,655.546.609.549,124908223290.0,295852503735.0,234785882524.0,655546609549.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Khẩu hao trong năm,Trong đó: > Khẩu hao trong năm,Khẩu hao trong năm,111.083.218.126,257.000.637.935,199.521.699.362,567.605.555.423,111083218126.0,257000637935.0,199521699362.0,567605555423.0
Tăng do mua công ty con,Trong đó: > Tăng do mua công ty con,Tăng do mua công ty con,5.905.334.957,12.684.040.794,5.595.900.615,24.185.276.366,5905334957.0,12684040794.0,5595900615.0,24185276366.0
Phân loại từ tài sản vô hình (Thuyết minh số 15),Trong đó: > Phân loại từ tài sản vô hình (Thuyết minh số 15),Phân loại từ tài sản vô hình (Thuyết minh số 15),853.424.313,-,-,853.424.313,853424313.0,,,853424313.0
Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Trong đó: > Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),7.066.245.894,26.167.825.006,29.668.282.547,62.902.353.447,7066245894.0,26167825006.0,29668282547.0,62902353447.0
Giảm trong năm,Trong đó: > Giảm trong năm,Giảm trong năm,(14.891.447.596),(115.294.468.345),(65.961.040.720),(196.146.956.661),-14891447596.0,-115294468345.0,-65961040720.0,-196146956661.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Thanh lý nhượng bán,Trong đó: > Thanh lý nhượng bán,Thanh lý nhượng bán,-,(1.569.907.640),-,(1.569.907.640),,-1569907640.0,,-1569907640.0
Phân loại sang hàng tồn kho,Trong đó: > Phân loại sang hàng tồn kho,Phân loại sang hàng tồn kho,(1.429.147.285),(50.363.182.654),(14.285.427.691),(66.077.757.630),-1429147285.0,-50363182654.0,-14285427691.0,-66077757630.0
Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Trong đó: > Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),(13.462.300.311),(63.361.378.051),(51.675.613.029),(128.499.291.391),-13462300311.0,-63361378051.0,-51675613029.0,-128499291391.0
Số dư cuối năm,Trong đó: > Số dư cuối năm,Số dư cuối năm,314.606.592.146,825.328.195.518,684.295.185.948,1.824.229.973.612,314606592146.0,825328195518.0,684295185948.0,1824229973612.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,7.369.252.274.772,7.827.522.283.460,1.630.889.685.301,16.827.664.243.533,7369252274772.0,7827522283460.0,1630889685301.0,16827664243533.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,7.021.151.807.935,8.619.978.132.955,1.720.997.355.601,17.362.127.296.491,7021151807935.0,8619978132955.0,1720997355601.0,17362127296491.0
