row_label_raw,row_label_full,col_0,Số cuối năm > Số cổ phiếu phố thông,Số cuối năm > Giá trị (VND),Số đầu năm > Số cổ phiếu phố thông,Số đầu năm > Giá trị (VND),numeric__Số cuối năm > Số cổ phiếu phố thông,numeric__Số cuối năm > Giá trị (VND),numeric__Số đầu năm > Số cổ phiếu phố thông,numeric__Số đầu năm > Giá trị (VND)
Công ty Cổ phần Giống vật nuôi Hà Nội,Công ty Cổ phần Giống vật nuôi Hà Nội,Công ty Cổ phần Giống vật nuôi Hà Nội,677.306,47.654.104.725,676.800,47.404.859.687,677306.0,47654104725.0,676800.0,47404859687.0
Công ty Cổ phần In sách Việt Nam,Công ty Cổ phần In sách Việt Nam,Công ty Cổ phần In sách Việt Nam,297.500,3.264.715.011,-,-,297500.0,3264715011.0,,
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,34.500.000,492.139.241.524,-,-,34500000.0,492139241524.0,,
Công ty Viwasupco,Công ty Viwasupco,Công ty Viwasupco,21.800.000,872.488.610.366,-,-,21800000.0,872488610366.0,,
Công ty Cổ phần Cảng Nha Trang,Công ty Cổ phần Cảng Nha Trang,Công ty Cổ phần Cảng Nha Trang,7.492.240,80.262.801.920,8.500.000,89.924.078.544,7492240.0,80262801920.0,8500000.0,89924078544.0
Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,43.233.000,232.999.777.446,-,-,43233000.0,232999777446.0,,
Công ty Cần Giờ,Công ty Cần Giờ,Công ty Cần Giờ,-,-,69.798.651,4.798.892.080.000,,,69798651.0,4798892080000.0
Công ty Thành phố xanh,Công ty Thành phố xanh,Công ty Thành phố xanh,-,-,73.650.000,979.672.327.325,,,73650000.0,979672327325.0
Công ty BĐS Thắng Long,Công ty BĐS Thắng Long,Công ty BĐS Thắng Long,-,-,1.750.000,171.306.421.130,,,1750000.0,171306421130.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,-,-,-,-,,,,
Công ty M.Y.M,Công ty Cổ phần Phú Hữu Gia > Công ty M.Y.M,Công ty M.Y.M,-,-,11.700.000,81.600.013.951,,,11700000.0,81600013951.0
Công ty Bê tông Ngoại thương,Công ty Cổ phần Phú Hữu Gia > Công ty Bê tông Ngoại thương,Công ty Bê tông Ngoại thương,-,-,1.800.000,24.410.420.502,,,1800000.0,24410420502.0
Công ty Ngọc Viễn Đông,Công ty Cổ phần Phú Hữu Gia > Công ty Ngọc Viễn Đông,Công ty Ngọc Viễn Đông,(*),-,(*),522.327.960.907,,,,522327960907.0
TỔNG CỘNG,Công ty Cổ phần Phú Hữu Gia > TỔNG CỘNG,TỔNG CỘNG,,1.728.809.250.992,,6.715.538.162.046,,1728809250992.0,,6715538162046.0
