row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị(Trình bày lại),Số đầu năm > Số có khả năng trả nợ(Trình bày lại),numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị(Trình bày lại),numeric__Số đầu năm > Số có khả năng trả nợ(Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải trả cho người bán,Ngắn hạn > Phải trả cho người bán,Phải trả cho người bán,6.452.935.402.714,6.452.935.402.714,5.698.278.299.744,5.698.278.299.744,6452935402714.0,6452935402714.0,5698278299744.0,5698278299744.0
"- Phải trả từ việc cung cấp dịch vụ môi giới, tư vấn, quản lý bất động sản từ một đối tác doanh nghiệp","Ngắn hạn > - Phải trả từ việc cung cấp dịch vụ môi giới, tư vấn, quản lý bất động sản từ một đối tác doanh nghiệp","- Phải trả từ việc cung cấp dịch vụ môi giới, tư vấn, quản lý bất động sản từ một đối tác doanh nghiệp",675.403.553.352,675.403.553.352,-,-,675403553352.0,675403553352.0,,
- Phải trả đối tượng khác,Ngắn hạn > - Phải trả đối tượng khác,- Phải trả đối tượng khác,5.777.531.849.362,5.777.531.849.362,5.698.278.299.744,5.698.278.299.744,5777531849362.0,5777531849362.0,5698278299744.0,5698278299744.0
Phải trả cho các bên liên quan(Thuyết minh số 37),Ngắn hạn > Phải trả cho các bên liên quan(Thuyết minh số 37),Phải trả cho các bên liên quan(Thuyết minh số 37),5.218.835.859,5.218.835.859,14.494.336.920,14.494.336.920,5218835859.0,5218835859.0,14494336920.0,14494336920.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,6.458.154.238.573,6.458.154.238.573,5.712.772.636.664,5.712.772.636.664,6458154238573.0,6458154238573.0,5712772636664.0,5712772636664.0
