row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,Đơn vị tính: VNDNăm trước > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Đơn vị tính: VNDNăm trước > Các khoản chi phí bán hàng phát sinh trong năm
- Chi phí nhân viên bán hàng,- Chi phí nhân viên bán hàng,- Chi phí nhân viên bán hàng,1.464.088.652.679,609.393.418.962,1464088652679.0,609393418962.0
- Chi phí vật liệu và công cụ dụng cụ,- Chi phí vật liệu và công cụ dụng cụ,- Chi phí vật liệu và công cụ dụng cụ,151.577.651.970,83.326.116.492,151577651970.0,83326116492.0
- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,511.786.167.997,178.964.017.309,511786167997.0,178964017309.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,4.134.457.194.645,1.593.620.134.637,4134457194645.0,1593620134637.0
- Chi phí bán hàng khác,- Chi phí bán hàng khác,- Chi phí bán hàng khác,410.906.027.727,492.521.989.039,410906027727.0,492521989039.0
,,,6.672.815.695.018,2.957.825.676.439,6672815695018.0,2957825676439.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
- Chi phí nhân viên quản lý,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > - Chi phí nhân viên quản lý,- Chi phí nhân viên quản lý,1.517.028.703.068,1.110.047.951.059,1517028703068.0,1110047951059.0
- Chi phí khấu hao tài sản cố định và lợi thế thương mại,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > - Chi phí khấu hao tài sản cố định và lợi thế thương mại,- Chi phí khấu hao tài sản cố định và lợi thế thương mại,1.342.316.321.783,973.405.400.852,1342316321783.0,973405400852.0
- Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,832.123.777.653,1.069.392.897.794,832123777653.0,1069392897794.0
- Chi phí hỗ trợ và từ thiện,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > - Chi phí hỗ trợ và từ thiện,- Chi phí hỗ trợ và từ thiện,1.326.843.735.337,360.568.804.205,1326843735337.0,360568804205.0
- Chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,507.777.924.168,409.358.100.202,507777924168.0,409358100202.0
,,,5.526.090.462.009,3.922.773.154.112,5526090462009.0,3922773154112.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,12.198.906.157.027,6.880.598.830.551,12198906157027.0,6880598830551.0
