row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
"Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản (i)","Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản (i)","Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản (i)",16.724.175.440.632,24.902.889.733.089,16724175440632.0,24902889733089.0
Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,3.744.381.415.164,2.568.835.147.227,3744381415164.0,2568835147227.0
Đặt cọc từ khách hàng thuê phải trả trong vòng 12 tháng tới (Thuyết minh số 25.2),Đặt cọc từ khách hàng thuê phải trả trong vòng 12 tháng tới (Thuyết minh số 25.2),Đặt cọc từ khách hàng thuê phải trả trong vòng 12 tháng tới (Thuyết minh số 25.2),142.961.783.374,198.735.029.285,142961783374.0,198735029285.0
Đặt cọc cho hoạt động đầu tư (ii),Đặt cọc cho hoạt động đầu tư (ii),Đặt cọc cho hoạt động đầu tư (ii),2.270.266.929.290,1.142.312.091.675,2270266929290.0,1142312091675.0
Các khoản thu hộ phải trả,Các khoản thu hộ phải trả,Các khoản thu hộ phải trả,67.703.284.120,226.536.581.710,67703284120.0,226536581710.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,385.018.955.101,66.146.583.977,385018955101.0,66146583977.0
Bảo hiểm xã hội phải nộp,Bảo hiểm xã hội phải nộp,Bảo hiểm xã hội phải nộp,16.063.818.195,12.765.259.655,16063818195.0,12765259655.0
Phải trả khách hàng do hủy hợp đồng,Phải trả khách hàng do hủy hợp đồng,Phải trả khách hàng do hủy hợp đồng,78.482.282.119,189.536.276.226,78482282119.0,189536276226.0
Quỹ bảo trì căn hộ giữ hộ khách hàng,Quỹ bảo trì căn hộ giữ hộ khách hàng,Quỹ bảo trì căn hộ giữ hộ khách hàng,490.190.298.633,460.188.180.130,490190298633.0,460188180130.0
Phải trả khách hàng do chấm dứt việc cho thuê trước hạn,Phải trả khách hàng do chấm dứt việc cho thuê trước hạn,Phải trả khách hàng do chấm dứt việc cho thuê trước hạn,-,23.010.241.318,,23010241318.0
Phải trả khác,Phải trả khác,Phải trả khác,293.694.064.332,249.604.903.251,293694064332.0,249604903251.0
,,,20.468.556.855.796,27.471.724.880.316,20468556855796.0,27471724880316.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác,Trong đó: > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,19.763.143.968.574,27.029.346.730.307,19763143968574.0,27029346730307.0
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 37),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 37),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 37),705.412.887.222,442.378.150.009,705412887222.0,442378150009.0
