row_label_raw,row_label_full,Lợi thế thương mại phát sinh từ việc mua các công ty con > Công ty Nam Hà Nội,Nguyễn giả > Số dư đầu năm(Trình bày lại) > 2.246.022.053.759,Nguyễn giả > Tăng trong năm > -,Nguyễn giả > Giảm trong năm > -,Nguyễn giả > Số dư cuối năm > 2.246.022.053.759,Phân bổ lũy kế > Số dư đầu năm(Trình bày lại) > 902.420.080.148,Phân bổ lũy kế > Phân bổ trong năm > 224.728.961.236,Phân bổ lũy kế > Giảm trong năm > -,Phân bổ lũy kế > Số dư cuối năm > 1.127.149.041.384,Đơn vị tinh: VNDGiá trị còn lại > Số dư đầu năm(Trình bày lại) > 1.343.601.973.611,Đơn vị tinh: VNDGiá trị còn lại > Số dư cuối năm > 1.118.873.012.375,numeric__Nguyễn giả > Số dư đầu năm(Trình bày lại) > 2.246.022.053.759,numeric__Nguyễn giả > Tăng trong năm > -,numeric__Nguyễn giả > Giảm trong năm > -,numeric__Nguyễn giả > Số dư cuối năm > 2.246.022.053.759,numeric__Phân bổ lũy kế > Số dư đầu năm(Trình bày lại) > 902.420.080.148,numeric__Phân bổ lũy kế > Phân bổ trong năm > 224.728.961.236,numeric__Phân bổ lũy kế > Giảm trong năm > -,numeric__Phân bổ lũy kế > Số dư cuối năm > 1.127.149.041.384,numeric__Đơn vị tinh: VNDGiá trị còn lại > Số dư đầu năm(Trình bày lại) > 1.343.601.973.611,numeric__Đơn vị tinh: VNDGiá trị còn lại > Số dư cuối năm > 1.118.873.012.375
Công ty Cổ phần Đầu tư và Thương mại PFV (1),Công ty Cổ phần Đầu tư và Thương mại PFV (1),Công ty Cổ phần Đầu tư và Thương mại PFV (1),567.441.137.177,-,-,567.441.137.177,239.945.375.259,53.982.454.146,-,293.927.829.405,327.495.761.918,273.513.307.772,567441137177.0,,,567441137177.0,239945375259.0,53982454146.0,,293927829405.0,327495761918.0,273513307772.0
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,2.251.823.291.311,-,-,2.251.823.291.311,582.585.568.551,224.789.733.762,-,807.375.302.313,1.669.237.722.760,1.444.447.988.998,2251823291311.0,,,2251823291311.0,582585568551.0,224789733762.0,,807375302313.0,1669237722760.0,1444447988998.0
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,1.262.707.762.179,-,-,1.262.707.762.179,538.559.740.526,126.552.634.054,-,665.112.374.580,724.148.021.653,597.595.387.599,1262707762179.0,,,1262707762179.0,538559740526.0,126552634054.0,,665112374580.0,724148021653.0,597595387599.0
Công ty Vinpearl Đà Nẵng,Công ty Vinpearl Đà Nẵng,Công ty Vinpearl Đà Nẵng,209.390.722.257,-,(804.208.063),208.586.514.194,104.639.956.861,24.413.178.644,(421.444.512),128.631.690.993,104.750.765.396,79.954.823.201,209390722257.0,,-804208063.0,208586514194.0,104639956861.0,24413178644.0,-421444512.0,128631690993.0,104750765396.0,79954823201.0
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,498.584.453.672,-,(3.704.123.665),494.880.330.007,54.013.315.814,49.716.966.887,(476.778.660),103.253.504.041,444.571.137.858,391.626.825.966,498584453672.0,,-3704123665.0,494880330007.0,54013315814.0,49716966887.0,-476778660.0,103253504041.0,444571137858.0,391626825966.0
Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,20.000.000.000,-,-,20.000.000.000,4.000.000.000,2.003.649.635,-,6.003.649.635,16.000.000.000,13.996.350.365,20000000000.0,,,20000000000.0,4000000000.0,2003649635.0,,6003649635.0,16000000000.0,13996350365.0
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,421.707.818.920,-,(93.000.891.437),328.706.927.483,61.036.868.474,36.040.199.062,(15.885.487.014),81.191.580.522,360.670.950.446,247.515.346.961,421707818920.0,,-93000891437.0,328706927483.0,61036868474.0,36040199062.0,-15885487014.0,81191580522.0,360670950446.0,247515346961.0
Công ty TNHH Đầu tư Thương mại Dịch vụ Khánh Gia (2),Công ty TNHH Đầu tư Thương mại Dịch vụ Khánh Gia (2),Công ty TNHH Đầu tư Thương mại Dịch vụ Khánh Gia (2),218.481.464.295,-,(3.766.847.762),214.714.616.533,22.677.796.181,21.790.869.163,(467.764.396),44.000.900.948,195.803.668.114,170.713.715.585,218481464295.0,,-3766847762.0,214714616533.0,22677796181.0,21790869163.0,-467764396.0,44000900948.0,195803668114.0,170713715585.0
Công ty Vinlinks,Công ty Vinlinks,Công ty Vinlinks,212.916.929.493,-,(212.916.929.493),-,14.676.805.602,19.228.950.939,(33.905.756.541),-,198.240.123.891,-,212916929493.0,,-212916929493.0,,14676805602.0,19228950939.0,-33905756541.0,,198240123891.0,
Công ty TNHH Một thành viên Thương mại Thời trang Đệt may Việt Nam (3),Công ty TNHH Một thành viên Thương mại Thời trang Đệt may Việt Nam (3),Công ty TNHH Một thành viên Thương mại Thời trang Đệt may Việt Nam (3),21.925.106.322,-,(4.849.421.368),17.075.684.954,1.887.176.290,2.125.849.103,(523.533.582),3.489.491.811,20.037.930.032,13.586.193.143,21925106322.0,,-4849421368.0,17075684954.0,1887176290.0,2125849103.0,-523533582.0,3489491811.0,20037930032.0,13586193143.0
Công ty An Phong,Công ty An Phong,Công ty An Phong,487.961.266.483,-,(7.620.416.887),480.340.849.596,5.783.311.684,49.642.344.884,(257.244.682),55.168.411.886,482.177.954.799,425.172.437.710,487961266483.0,,-7620416887.0,480340849596.0,5783311684.0,49642344884.0,-257244682.0,55168411886.0,482177954799.0,425172437710.0
Công ty Vinaconex – Viettel,Công ty Vinaconex – Viettel,Công ty Vinaconex – Viettel,2.220.737.168.894,-,(2.220.737.168.894),-,555.184.292,70.321.005.430,(70.876.189.722),-,2.220.181.984.602,-,2220737168894.0,,-2220737168894.0,,555184292.0,70321005430.0,-70876189722.0,,2220181984602.0,
Công ty Đồng Phú Hung-Bình Thuận,Công ty Đồng Phú Hung-Bình Thuận,Công ty Đồng Phú Hung-Bình Thuận,452.448.609.116,-,(452.448.609.116),-,377.040.508,37.462.116.190,(37.839.156.698),-,452.071.568.608,-,452448609116.0,,-452448609116.0,,377040508.0,37462116190.0,-37839156698.0,,452071568608.0,
Công ty Hoàng Lán (4),Công ty Hoàng Lán (4),Công ty Hoàng Lán (4),-,18.942.936.598,-,18.942.936.598,-,1.726.326.734,-,1.726.326.734,-,17.216.609.864,,18942936598.0,,18942936598.0,,1726326734.0,,1726326734.0,,17216609864.0
Công ty Hoa Hồng Vàng (5),Công ty Hoa Hồng Vàng (5),Công ty Hoa Hồng Vàng (5),-,12.602.352.813,-,12.602.352.813,-,1.155.388.121,-,1.155.388.121,-,11.446.964.692,,12602352813.0,,12602352813.0,,1155388121.0,,1155388121.0,,11446964692.0
Công ty Sách Việt Nam (5),Công ty Sách Việt Nam (5),Công ty Sách Việt Nam (5),-,20.875.503.395,-,20.875.503.395,-,1.422.940.144,-,1.422.940.144,-,19.452.563.251,,20875503395.0,,20875503395.0,,1422940144.0,,1422940144.0,,19452563251.0
Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành (5),Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành (5),Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành (5),-,1.244.602.203.203,(1.244.602.203.203),-,-,69.504.201.876,(69.504.201.876),-,-,-,,1244602203203.0,-1244602203203.0,,,69504201876.0,-69504201876.0,,,
Công ty Sinh Thái (5),Công ty Sinh Thái (5),Công ty Sinh Thái (5),-,322.419.360.569,-,322.419.360.569,-,1.579.110.933,-,1.579.110.933,-,320.840.249.636,,322419360569.0,,322419360569.0,,1579110933.0,,1579110933.0,,320840249636.0
Công ty Phú Gia (5),Công ty Phú Gia (5),Công ty Phú Gia (5),-,34.561.278.264,-,34.561.278.264,-,398.397.030,-,398.397.030,-,34.162.881.234,,34561278264.0,,34561278264.0,,398397030.0,,398397030.0,,34162881234.0
Công ty ĐTVN (5),Công ty ĐTVN (5),Công ty ĐTVN (5),-,246.843.055.863,-,246.843.055.863,-,1.212.135.061,-,1.212.135.061,-,245.630.920.802,,246843055863.0,,246843055863.0,,1212135061.0,,1212135061.0,,245630920802.0
