row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
"Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biết thy","Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biết thy","Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biết thy",-,194.671.051.737,,194671051737.0
Doanh thu chưa thực hiện từ dịch vụ giáo dục,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ giáo dục,Doanh thu chưa thực hiện từ dịch vụ giáo dục,374.544.782.280,365.247.876.157,374544782280.0,365247876157.0
Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thy,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thy,Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thy,281.220.641.246,148.083.223.337,281220641246.0,148083223337.0
Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,24.775.727.931,97.876.548.628,24775727931.0,97876548628.0
"Doanh thu chưa thực hiện từ dịch vụ du lịch, khách sạn và giải trí","Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ du lịch, khách sạn và giải trí","Doanh thu chưa thực hiện từ dịch vụ du lịch, khách sạn và giải trí",284.235.383.964,183.873.032.806,284235383964.0,183873032806.0
Doanh thu chưa thực hiện từ chương trình khách hàng thân thiết Vingroup Card,Ngắn hạn: > Doanh thu chưa thực hiện từ chương trình khách hàng thân thiết Vingroup Card,Doanh thu chưa thực hiện từ chương trình khách hàng thân thiết Vingroup Card,122.751.293.234,-,122751293234.0,
Doanh thu chưa thực hiện từ dịch vụ khác,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ khác,Doanh thu chưa thực hiện từ dịch vụ khác,51.310.830.403,66.986.286.611,51310830403.0,66986286611.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,1.138.838.659.058,1.056.738.019.276,1138838659058.0,1056738019276.0
Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,,
Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,Dải hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,-,1.198.094.154.929,,1198094154929.0
Doanh thu chưa thực hiện từ dịch vụ giáo dục,Dải hạn: > Doanh thu chưa thực hiện từ dịch vụ giáo dục,Doanh thu chưa thực hiện từ dịch vụ giáo dục,9.806.280,90.716.093.933,9806280.0,90716093933.0
Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thy,Dải hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thy,Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thy,2.286.854.496.566,1.319.975.110.242,2286854496566.0,1319975110242.0
Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Dải hạn: > Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,57.194.087.287,7.668.595.322,57194087287.0,7668595322.0
Doanh thu chưa thực hiện từ dịch vụ khác,Dải hạn: > Doanh thu chưa thực hiện từ dịch vụ khác,Doanh thu chưa thực hiện từ dịch vụ khác,45.706.191.349,66.957.578.042,45706191349.0,66957578042.0
TỔNG CỘNG,Dải hạn: > TỔNG CỘNG,TỔNG CỘNG,2.389.764.581.482,2.683.411.532.468,2389764581482.0,2683411532468.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 37),Trong đó: > Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 37),Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 37),81.871.768.284,-,81871768284.0,
Doanh thu chưa thực hiện với các bên khác,Trong đó: > Doanh thu chưa thực hiện với các bên khác,Doanh thu chưa thực hiện với các bên khác,2.307.892.813.198,2.683.411.532.468,2307892813198.0,2683411532468.0
