row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Chi phí từ thiện phát sinh,(1.024.460.000.000),(201.694.581.574),,,-1024460000000.0,-201694581574.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Chuyển tiền tài trợ cho Quỹ Thiện Tâm,670.000.000.000,69.100.359.367,,,670000000000.0,69100359367.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Phải thu từ cung cấp dịch vụ xây dựng,84.924.238.604,-,,,84924238604.0,
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Thu tiền từ cung cấp dịch vụ xây dựng,(147.991.950.236),-,,,-147991950236.0,
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Chi hộ phải thu,19.165.633.000,-,,,19165633000.0,
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Phải trả chi hộ,(23.171.440.992),-,,,-23171440992.0,
Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty liên kết (từ ngày 30 tháng 11 năm 2016),Thu hồi gốc vay,(169.563.472.214),-,,,-169563472214.0,
Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty liên kết (từ ngày 30 tháng 11 năm 2016),Cho vay,82.485.000.000,-,,,82485000000.0,
Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty liên kết (từ ngày 30 tháng 11 năm 2016),Lãi vay đã thu,(130.436.527.786),-,,,-130436527786.0,
Các thành viên quản lý chủ chốt,Các thành viên quản lý chủ chốt,Các thành viên quản lý chủ chốt,Các thành viên quản lý chủ chốt,Thu tiền ứng trước của khách hàng mua biệt thự,-,(422.848.705.600),,,,-422848705600.0
Các thành viên quản lý chủ chốt,Các thành viên quản lý chủ chốt,Các thành viên quản lý chủ chốt,Các thành viên quản lý chủ chốt,Phải thu từ bán biệt thự và cung cấp các dịch vụ đi kèm,585.521.325.121,-,,,585521325121.0,
Các thành viên quản lý chủ chốt,Các thành viên quản lý chủ chốt,Các thành viên quản lý chủ chốt,Các thành viên quản lý chủ chốt,Tiền đã thu từ bán biệt thự và cung cấp các dịch vụ đi kèm,(161.546.505.153),-,,,-161546505153.0,
