row_label_raw,row_label_full,Ngân hàng > Ngân hàngTMCP Ngoại thương Việt Nam > Trong đó: vay dài hạn đến hạn trả > Ngân hàngTMCP Công thương Việt Nam > Trong đó: vay dài hạn đến hạn trả > Ngân hàngTMCP Đầu tư và Phát triển Việt Nam > Khoản vay hợp vốn (iv) > Khoản vay chuyển đổi (v),Số cuối năm > USD > 300.000.000 > 20.000.000,Số cuối năm > VND (*) > 2.715.390.280.677 > (17.670.632.184) > 1.711.600.000.000 > (855.800.000.000) > 218.086.909.983 > 6.611.612.859.408 > 449.616.637.420,Ngày đáo hạn > Từ tháng 1 năm2017 đến tháng12 năm 2025 > Từ tháng 2 năm2017 đến tháng11 năm 2018 > Tháng 12 năm2024 > Từ tháng 1 năm2018 đến tháng7 năm 2021 > Tháng 10 năm2019,"Lãi suất > Lãi suất huy động tiết kiệm đối với khách hàng cá nhân kỳ hạn 12 tháng trả lãi sau + biên độ 3%/năm đến 3,5%/năm > Lãi suất huy động tiết kiệm đối với khách hàng cá nhân kỳ hạn 12 tháng trả lãi sau + biên độ 3,5%/năm > Lãi suất huy động tiết kiệm đối với khách hàng cá nhân kỳ hạn 12 tháng trả lãi sau + biên độ 1%/năm > LIBOR đối với kỳ hạn 3 tháng + biên độ 5%/năm > Lãi suất 8,75%/năm",Tài sản đảm bảo > (i) > (ii) > (iii) > (iv),numeric__Số cuối năm > USD > 300.000.000 > 20.000.000,numeric__Số cuối năm > VND (*) > 2.715.390.280.677 > (17.670.632.184) > 1.711.600.000.000 > (855.800.000.000) > 218.086.909.983 > 6.611.612.859.408 > 449.616.637.420,numeric__Ngày đáo hạn > Từ tháng 1 năm2017 đến tháng12 năm 2025 > Từ tháng 2 năm2017 đến tháng11 năm 2018 > Tháng 12 năm2024 > Từ tháng 1 năm2018 đến tháng7 năm 2021 > Tháng 10 năm2019,"numeric__Lãi suất > Lãi suất huy động tiết kiệm đối với khách hàng cá nhân kỳ hạn 12 tháng trả lãi sau + biên độ 3%/năm đến 3,5%/năm > Lãi suất huy động tiết kiệm đối với khách hàng cá nhân kỳ hạn 12 tháng trả lãi sau + biên độ 3,5%/năm > Lãi suất huy động tiết kiệm đối với khách hàng cá nhân kỳ hạn 12 tháng trả lãi sau + biên độ 1%/năm > LIBOR đối với kỳ hạn 3 tháng + biên độ 5%/năm > Lãi suất 8,75%/năm",numeric__Tài sản đảm bảo > (i) > (ii) > (iii) > (iv)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,10.832.836.055.304,,,,,10832836055304.0,,,
Trong đóVay dài hạnVay dài hạn đến hạn trả,Trong đóVay dài hạnVay dài hạn đến hạn trả,Trong đóVay dài hạnVay dài hạn đến hạn trả,,11.706.306.687.488,,,,,11706306687488.0,,,
,,,,(873.470.632.184),,,,,-873470632184.0,,,
