row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,57.670.387.202.439,34.054.968.884.836,57670387202439.0,34054968884836.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,37.295.758.090.569,21.179.148.427.947,37295758090569.0,21179148427947.0
Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,3.321.913.007.632,2.655.125.765.258,3321913007632.0,2655125765258.0
"Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Trong đó: > Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",4.256.597.378.984,2.847.874.120.764,4256597378984.0,2847874120764.0
Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,1.092.565.847.858,770.606.961.951,1092565847858.0,770606961951.0
"Doanh thu bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác","Trong đó: > Doanh thu bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác","Doanh thu bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác",9.303.773.846.276,4.312.995.120.187,9303773846276.0,4312995120187.0
Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,712.567.649.695,514.231.160.146,712567649695.0,514231160146.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,1.687.211.381.425,1.774.987.328.583,1687211381425.0,1774987328583.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(56.043.536.545),(7.002.571.734),-56043536545.0,-7002571734.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,57.614.343.665.894,34.047.966.313.102,57614343665894.0,34047966313102.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,37.295.758.090.569,21.179.148.427.947,37295758090569.0,21179148427947.0
Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,3.321.913.007.632,2.655.125.765.258,3321913007632.0,2655125765258.0
"Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Trong đó: > Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",4.256.597.378.984,2.847.874.120.764,4256597378984.0,2847874120764.0
Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,1.092.565.847.858,770.605.761.951,1092565847858.0,770605761951.0
"Doanh thu bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác","Trong đó: > Doanh thu bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác","Doanh thu bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác",9.247.730.309.731,4.305.993.748.453,9247730309731.0,4305993748453.0
Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,712.567.649.695,514.231.160.146,712567649695.0,514231160146.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,1.687.211.381.425,1.774.987.328.583,1687211381425.0,1774987328583.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,57.053.841.854.201,33.950.819.883.198,57053841854201.0,33950819883198.0
Doanh thu đối với bên liên quan(Thuyết minh số 37),Trong đó: > Doanh thu đối với bên liên quan(Thuyết minh số 37),Doanh thu đối với bên liên quan(Thuyết minh số 37),560.501.811.693,97.146.429.904,560501811693.0,97146429904.0
