row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý tại ngày mua
Tài sản,Tài sản,Tài sản,,
Tiền,Tài sản > Tiền,Tiền,2.595.162,2595162.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,40.601.290,40601290.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,42.507.605,42507605.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,3.093.131.896,3093131896.0
,,,3.178.835.953,3178835953.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,32.734.031,32734031.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,3.146.101.922,3146101922.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,5.251.545.265,5251545265.0
Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),12.602.352.813,12602352813.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,21.000.000.000,21000000000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,2.595.162,2595162.0
Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2016,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2016,Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2016,(21.000.000.000),-21000000000.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(20.997.404.838),-20997404838.0
