row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị hợp lý được xác định tạm thời tại ngày mua,numeric__Đơn vị tính: VND > Giá trị hợp lý được xác định tạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,699.919.715.320,699919715320.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,25.300.885.704,25300885704.0
Đầu tư vào công ty liên kết (Thuyết minh số 19.1.1),Tài sản > Đầu tư vào công ty liên kết (Thuyết minh số 19.1.1),Đầu tư vào công ty liên kết (Thuyết minh số 19.1.1),3.239.919.511,3239919511.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,29.942.765.511,29942765511.0
,,,758.403.286.046,758403286046.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Chi phí phải trả ngắn hạn,Nợ phải trả > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,43.960.667.647,43960667647.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,19.065.137.296,19065137296.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,695.377.481.103,695377481103.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(241.087.372.698),-241087372698.0
Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),20.875.503.395,20875503395.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,475.165.611.800,475165611800.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,699.919.715.320,699919715320.0
Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2016,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2016,Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2016,(475.165.611.800),-475165611800.0
Lưu chuyển tiền thuần từ nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần từ nghiệp vụ mua,Lưu chuyển tiền thuần từ nghiệp vụ mua,224.754.103.520,224754103520.0
