row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 23) > Công ty Ngọc Viễn Đông > Công ty Tập đoàn Kỹ nghệ Gỗ Trường Thành,Môi quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 23) > Công ty liên kết (đến ngày 20 tháng 6 năm 2016) > Công ty liên kết (từ ngày 30 tháng 11 năm 2016),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 23) > Lãi đi vay phải trả > Chi phí vật liệu xây dựng phải trả,Số cuối năm VND > Chi phí phải trả ngắn hạn (Thuyết minh số 23) > - > 1.047.955.645,Số đầu năm VND > Chi phí phải trả ngắn hạn (Thuyết minh số 23) > 5.025.300.000 > -,numeric__Môi quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 23) > Công ty liên kết (đến ngày 20 tháng 6 năm 2016) > Công ty liên kết (từ ngày 30 tháng 11 năm 2016),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 23) > Lãi đi vay phải trả > Chi phí vật liệu xây dựng phải trả,numeric__Số cuối năm VND > Chi phí phải trả ngắn hạn (Thuyết minh số 23) > - > 1.047.955.645,numeric__Số đầu năm VND > Chi phí phải trả ngắn hạn (Thuyết minh số 23) > 5.025.300.000 > -
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Chi phí cam kết tài trợ từ thiện,350.000.000.000,-,,,350000000000.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Phải trả khác,-,1.451.350.924,,,,1451350924.0
,,,,,351.047.955.645,6.476.650.924,,,351047955645.0,6476650924.0
Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),,,,
Các thành viên quản lý chủ chốt khác,Doanh thu chưa thực hiện (Thuyết minh số 24) > Các thành viên quản lý chủ chốt khác,Các thành viên quản lý chủ chốt khác,Các thành viên quản lý chủ chốt,Doanh thu chưa thực hiện,81.871.768.284,-,,,81871768284.0,
,,,,,81.871.768.284,-,,,81871768284.0,
Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1),,,,
Công ty Du lịch Phú Quốc,Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1) > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết (từ ngày 22 tháng 12 năm 2016),Phải trả từ hợp đồng hợp tác kinh doanh,700.000.000.000,-,,,700000000000.0,
Các thành viên quản lý chủ chốt khác,Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1) > Các thành viên quản lý chủ chốt khác,Các thành viên quản lý chủ chốt khác,Các thành viên quản lý chủ chốt khác,Tiền đặt cọc mua biệt thự tại một số dự án,1.407.079.230,422.848.705.600,,,1407079230.0,422848705600.0
Công ty M.Y.M,Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1) > Công ty M.Y.M,Công ty M.Y.M,Công ty liên kết (từ ngày 10 tháng 12 năm 2015 đến ngày 03 tháng 8 năm 2016),Tiền quản lý tập trung phải trả,-,18.178.161.051,,,,18178161051.0
Công ty M.Y.M,Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1) > Công ty M.Y.M,Công ty M.Y.M,Công ty liên kết (từ ngày 10 tháng 12 năm 2015 đến ngày 03 tháng 8 năm 2016),Tiền quản lý tập trung phải trả,-,86.238.674,,,,86238674.0
Quỹ Thiện Tâm,Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Phải trả khác,4.005.807.992,-,,,4005807992.0,
Các bên liên quan khác,Các khoản phải trả ngắn hạn khác (Thuyết minh số 25.1) > Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Phải trả khác,-,1.265.044.684,,,,1265044684.0
,,,,,705.412.887.222,442.378.150.009,,,705412887222.0,442378150009.0
