row_label_raw,row_label_full,col_0,Giá trị hợp lý được xác định tạm thời,Điều chỉnh giá trị hợp lý,Giá trị hợp lý sau điều chỉnh,numeric__Giá trị hợp lý được xác định tạm thời,numeric__Điều chỉnh giá trị hợp lý,numeric__Giá trị hợp lý sau điều chỉnh
Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,1.834.593.000.000,51.603.290.000,1.886.196.290.000,1834593000000.0,51603290000.0,1886196290000.0
Cổ đông không kiểm soát,Cổ đông không kiểm soát,Cổ đông không kiểm soát,8.509.350.703,984.879.038,9.494.229.741,8509350703.0,984879038.0,9494229741.0
Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),437.342.855.521,50.618.410.962,487.961.266.483,437342855521.0,50618410962.0,487961266483.0
