row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,Năm nay,Năm trước,numeric__Số cuối năm,numeric__Số đầu năm,numeric__Năm nay,numeric__Năm trước
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chênh lệch tam thời liên quan lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Tài sản thuế thu nhập hoãn lại > Chênh lệch tam thời liên quan lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Chênh lệch tam thời liên quan lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,194.022.890.385,80.540.170.317,113.482.720.068,57.503.655.845,194022890385.0,80540170317.0,113482720068.0,57503655845.0
Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,Tài sản thuế thu nhập hoãn lại > Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,66.586.444.793,13.013.856.584,33.071.116.494,13.013.856.584,66586444793.0,13013856584.0,33071116494.0,13013856584.0
Chênh lệch từ cổ phiếu quỹ nằm giữ bởi công ty con,Tài sản thuế thu nhập hoãn lại > Chênh lệch từ cổ phiếu quỹ nằm giữ bởi công ty con,Chênh lệch từ cổ phiếu quỹ nằm giữ bởi công ty con,31.835.173.424,31.835.173.424,-,-,31835173424.0,31835173424.0,,
Chênh lệch tam thời từ tài sản góp vốn vào công ty con,Tài sản thuế thu nhập hoãn lại > Chênh lệch tam thời từ tài sản góp vốn vào công ty con,Chênh lệch tam thời từ tài sản góp vốn vào công ty con,30.874.229.236,42.971.435.401,(12.097.206.165),10.255.510.879,30874229236.0,42971435401.0,-12097206165.0,10255510879.0
Chênh lệch khác,Tài sản thuế thu nhập hoãn lại > Chênh lệch khác,Chênh lệch khác,5.286.061.097,1.797.321.735,3.488.739.362,965.348.544,5286061097.0,1797321735.0,3488739362.0,965348544.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch tam thời từ tài sản góp vốn vào công ty con,Thuế thu nhập hoãn lại phải trả > Chênh lệch tam thời từ tài sản góp vốn vào công ty con,Chênh lệch tam thời từ tài sản góp vốn vào công ty con,(8.779.295.223),(12.544.961.545),3.765.666.322,11.951.871.101,-8779295223.0,-12544961545.0,3765666322.0,11951871101.0
Thuế TN hoãn lại cho khoản chi phí phát hành trái phiếu ghi nhận ở công ty con,Thuế thu nhập hoãn lại phải trả > Thuế TN hoãn lại cho khoản chi phí phát hành trái phiếu ghi nhận ở công ty con,Thuế TN hoãn lại cho khoản chi phí phát hành trái phiếu ghi nhận ở công ty con,(2.568.532.800),(3.210.666.000),642.133.200,(3.210.666.000),-2568532800.0,-3210666000.0,642133200.0,-3210666000.0
Chênh lệch tam thời từ giá trị quyền thực hiện dự án Hôn Một,Thuế thu nhập hoãn lại phải trả > Chênh lệch tam thời từ giá trị quyền thực hiện dự án Hôn Một,Chênh lệch tam thời từ giá trị quyền thực hiện dự án Hôn Một,(10.762.089.058),(13.510.761.290),2.728.672.232,3.052.362.750,-10762089058.0,-13510761290.0,2728672232.0,3052362750.0
