row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,494.156.904.807,494156904807.0
Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,367.694.692.439,367694692439.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,3.224.258.638.813,3224258638813.0
"Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, phải thu khác","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, phải thu khác","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, phải thu khác",1.042.244.561.460,1042244561460.0
Phải thu từ thu nhập cổ tức,Phải thu từ thu nhập cổ tức,Phải thu từ thu nhập cổ tức,36.115.522.222,36115522222.0
Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,(34.849.342.992),-34849342992.0
Dự phòng phải thu về lãi cho vay khó đòi,Dự phòng phải thu về lãi cho vay khó đòi,Dự phòng phải thu về lãi cho vay khó đòi,(3.203.880.000),-3203880000.0
Chi phí lãi vay trả trước,Chi phí lãi vay trả trước,Chi phí lãi vay trả trước,45.141.308.506,45141308506.0
Chi phí thuế thu nhập doanh nghiệp trả trước,Chi phí thuế thu nhập doanh nghiệp trả trước,Chi phí thuế thu nhập doanh nghiệp trả trước,498.649.303.769,498649303769.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,972.722.775.130,972722775130.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,111.457.535.408,111457535408.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,58.989.915.115,58989915115.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,3.347.544.752.659,3347544752659.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,328.604.798.935,328604798935.0
Tổng cộng,Tổng cộng,Tổng cộng,10.489.527.486.271,10489527486271.0
