row_label_raw,row_label_full,Nguyễn giá:Số dư đầu năm > Tăng trong năm,Nhà cửa vàvật kiến trúc > 14.546.599.894.304 > 7.050.251.537.438,Máy móc vàthiết bị > 5.813.447.671.180 > 2.820.523.747.955,Phương tiệnvận tải > 716.002.066.494 > 223.509.481.190,Thiết bịvăn phòng > 543.208.623.935 > 235.948.327.771,Khác > 418.437.068.921 > 118.571.480.369,Đơn vị tính: VNDTổng cộng > 22.037.695.324.834 > 10.448.804.574.723,numeric__Nhà cửa vàvật kiến trúc > 14.546.599.894.304 > 7.050.251.537.438,numeric__Máy móc vàthiết bị > 5.813.447.671.180 > 2.820.523.747.955,numeric__Phương tiệnvận tải > 716.002.066.494 > 223.509.481.190,numeric__Thiết bịvăn phòng > 543.208.623.935 > 235.948.327.771,numeric__Khác > 418.437.068.921 > 118.571.480.369,numeric__Đơn vị tính: VNDTổng cộng > 22.037.695.324.834 > 10.448.804.574.723
Trong đó:Mua mới,Trong đó:Mua mới,Trong đó:Mua mới,484.712.824.100,1.689.988.778.471,195.200.618.047,226.451.632.887,108.371.542.432,2.704.725.395.937,484712824100.0,1689988778471.0,195200618047.0,226451632887.0,108371542432.0,2704725395937.0
Xáy dụng mới,Xáy dụng mới,Xáy dụng mới,3.792.400.756.011,491.189.383.369,-,-,-,4.283.590.139.380,3792400756011.0,491189383369.0,,,,4283590139380.0
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,864.540.792.449,337.615.989.619,27.572.363.143,9.496.694.884,1.984.169.687,1.241.210.009.782,864540792449.0,337615989619.0,27572363143.0,9496694884.0,1984169687.0,1241210009782.0
Phân loại từ bất động sản đầu tư (Thuyết minh số 16),Phân loại từ bất động sản đầu tư (Thuyết minh số 16),Phân loại từ bất động sản đầu tư (Thuyết minh số 16),1.856.921.695.144,299.371.596.496,-,-,-,2.156.293.291.640,1856921695144.0,299371596496.0,,,,2156293291640.0
Tăng khác,Tăng khác,Tăng khác,51.675.469.734,2.358.000.000,736.500.000,-,8.215.768.250,62.985.737.984,51675469734.0,2358000000.0,736500000.0,,8215768250.0,62985737984.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,(1.433.266.332.214),(639.892.046.993),(131.419.545.697),(17.539.046.691),(99.140.745.479),(2.321.257.717.074),-1433266332214.0,-639892046993.0,-131419545697.0,-17539046691.0,-99140745479.0,-2321257717074.0
"Trong đó:Thanh lý, nhượng bán","Trong đó:Thanh lý, nhượng bán","Trong đó:Thanh lý, nhượng bán",-,(47.253.302.881),(10.651.993.131),(8.748.015.825),(10.635.066.265),(77.288.378.102),,-47253302881.0,-10651993131.0,-8748015825.0,-10635066265.0,-77288378102.0
Phân loại sang bất động sản đầu tư (Thuyết minh số 16),Phân loại sang bất động sản đầu tư (Thuyết minh số 16),Phân loại sang bất động sản đầu tư (Thuyết minh số 16),(403.151.462.486),(94.487.761.368),-,-,-,(497.639.223.854),-403151462486.0,-94487761368.0,,,,-497639223854.0
Phân loại sang hàng tồn kho,Phân loại sang hàng tồn kho,Phân loại sang hàng tồn kho,(303.346.088.775),(161.471.043.563),-,-,(5.829.546.078),(470.646.678.416),-303346088775.0,-161471043563.0,,,-5829546078.0,-470646678416.0
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,(384.651.216.936),(297.162.489.107),(120.767.552.566),(5.296.846.766),(8.839.389.096),(816.717.494.471),-384651216936.0,-297162489107.0,-120767552566.0,-5296846766.0,-8839389096.0,-816717494471.0
Giảm khác,Giảm khác,Giảm khác,(342.117.564.017),(39.517.450.074),-,(3.494.184.100),(73.836.744.040),(458.965.942.231),-342117564017.0,-39517450074.0,,-3494184100.0,-73836744040.0,-458965942231.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,20.163.585.099.528,7.994.079.372.142,808.092.001.987,761.617.905.015,437.867.803.811,30.165.242.182.483,20163585099528.0,7994079372142.0,808092001987.0,761617905015.0,437867803811.0,30165242182483.0
Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,20.760.295.380,120.876.729.240,6.697.344.436,29.678.131.399,22.489.581.418,200.502.081.873,20760295380.0,120876729240.0,6697344436.0,29678131399.0,22489581418.0,200502081873.0
Giá trị hao mòn lũy kế:Số dư đầu năm,Giá trị hao mòn lũy kế:Số dư đầu năm,Giá trị hao mòn lũy kế:Số dư đầu năm,1.150.641.947.558,1.300.301.053.287,199.012.256.210,154.186.221.725,119.207.760.303,2.923.349.239.083,1150641947558.0,1300301053287.0,199012256210.0,154186221725.0,119207760303.0,2923349239083.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,777.415.634.998,855.917.475.974,101.422.813.101,90.428.165.164,60.662.700.374,1.885.846.789.611,777415634998.0,855917475974.0,101422813101.0,90428165164.0,60662700374.0,1885846789611.0
Trong đó:Khẩu hao trong năm,Trong đó:Khẩu hao trong năm,Trong đó:Khẩu hao trong năm,567.904.179.784,685.189.263.888,84.531.032.461,82.560.149.103,59.569.900.569,1.479.754.525.805,567904179784.0,685189263888.0,84531032461.0,82560149103.0,59569900569.0,1479754525805.0
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,132.687.776.852,119.052.599.057,16.891.780.640,7.868.016.061,1.092.799.805,277.592.972.415,132687776852.0,119052599057.0,16891780640.0,7868016061.0,1092799805.0,277592972415.0
Phân loại từ bất động sản đầu tư (Thuyết minh số 16),Phân loại từ bất động sản đầu tư (Thuyết minh số 16),Phân loại từ bất động sản đầu tư (Thuyết minh số 16),76.823.678.362,51.675.613.029,-,-,-,128.499.291.391,76823678362.0,51675613029.0,,,,128499291391.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,(311.145.901.696),(320.349.833.109),(54.672.257.645),(12.003.714.358),(12.604.015.996),(710.775.722.804),-311145901696.0,-320349833109.0,-54672257645.0,-12003714358.0,-12604015996.0,-710775722804.0
"Trong đó:Thanh lý, nhượng bán","Trong đó:Thanh lý, nhượng bán","Trong đó:Thanh lý, nhượng bán",-,(22.487.718.254),(5.292.476.816),(5.539.276.544),(3.821.693.141),(37.141.164.755),,-22487718254.0,-5292476816.0,-5539276544.0,-3821693141.0,-37141164755.0
Phân loại sang bất động sản đầu tư (Thuyết minh số 16),Phân loại sang bất động sản đầu tư (Thuyết minh số 16),Phân loại sang bất động sản đầu tư (Thuyết minh số 16),(33.234.070.900),(29.668.282.547),-,-,-,(62.902.353.447),-33234070900.0,-29668282547.0,,,,-62902353447.0
Phân loại sang hàng tồn kho,Phân loại sang hàng tồn kho,Phân loại sang hàng tồn kho,(65.336.837.035),(110.513.716.113),-,-,(3.830.660.107),(179.681.213.255),-65336837035.0,-110513716113.0,,,-3830660107.0,-179681213255.0
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,(100.692.148.167),(121.493.952.794),(49.379.780.829),(4.170.279.010),(3.549.317.577),(279.285.478.377),-100692148167.0,-121493952794.0,-49379780829.0,-4170279010.0,-3549317577.0,-279285478377.0
Giảm khác,Giảm khác,Giảm khác,(111.882.845.594),(36.186.163.401),-,(2.294.158.804),(1.402.345.171),(151.765.512.970),-111882845594.0,-36186163401.0,,-2294158804.0,-1402345171.0,-151765512970.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.616.911.680.860,1.835.868.696.152,245.762.811.666,232.610.672.531,167.266.444.681,4.098.420.305.890,1616911680860.0,1835868696152.0,245762811666.0,232610672531.0,167266444681.0,4098420305890.0
Giá trị còn lại:Số dư đầu năm,Giá trị còn lại:Số dư đầu năm,Giá trị còn lại:Số dư đầu năm,13.395.957.946.746,4.513.146.617.893,516.989.810.284,389.022.402.210,299.229.308.618,19.114.346.085.751,13395957946746.0,4513146617893.0,516989810284.0,389022402210.0,299229308618.0,19114346085751.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,18.546.673.418.668,6.158.210.675.990,562.329.190.321,529.007.232.484,270.601.359.130,26.066.821.876.593,18546673418668.0,6158210675990.0,562329190321.0,529007232484.0,270601359130.0,26066821876593.0
