row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị hợp lý được xác định tại ngày mua,numeric__Đơn vị tính: VND > Giá trị hợp lý được xác định tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,2.338.353.409.059,2338353409059.0
Các khoản cho vay ngắn hạn,Tài sản > Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,2.754.028.571.429,2754028571429.0
Các khoản phải thu ngắn hạn khác,Tài sản > Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,602.152.156.518,602152156518.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,76.509.048.866,76509048866.0
Chi phí trả trước ngắn hạn,Tài sản > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,47.568.505.803,47568505803.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,458.773.142.116,458773142116.0
Bất động sản đầu tư (i),Tài sản > Bất động sản đầu tư (i),Bất động sản đầu tư (i),1.034.743.457.884,1034743457884.0
Chi phí xây dựng cơ bản dở dang (ii),Tài sản > Chi phí xây dựng cơ bản dở dang (ii),Chi phí xây dựng cơ bản dở dang (ii),6.796.143.809.223,6796143809223.0
"Đầu tư vào công ty liên doanh, liên kết (Thuyết minh số 19.1.1)","Tài sản > Đầu tư vào công ty liên doanh, liên kết (Thuyết minh số 19.1.1)","Đầu tư vào công ty liên doanh, liên kết (Thuyết minh số 19.1.1)",872.488.610.366,872488610366.0
Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 19.1.2),Tài sản > Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 19.1.2),Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 19.1.2),24.487.200.000,24487200000.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,143.714.933.356,143714933356.0
