row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước(Trình bày lại)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,5.792.758.966.378,2.852.100.965.401,5792758966378.0,2852100965401.0
Thuế tính theo thuế suất của công ty,Thuế tính theo thuế suất của công ty,Thuế tính theo thuế suất của công ty,1.158.551.793.276,627.462.212.388,1158551793276.0,627462212388.0
Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,(18.322.899.619),(16.745.356.166),-18322899619.0,-16745356166.0
Lỗ của các công ty con,Lỗ của các công ty con,Lỗ của các công ty con,611.427.189.860,486.787.724.269,611427189860.0,486787724269.0
Phân bổ chênh lệch giữa giá phí và giá trị ghi số tài sản thuần khi mua nhóm tài sản,Phân bổ chênh lệch giữa giá phí và giá trị ghi số tài sản thuần khi mua nhóm tài sản,Phân bổ chênh lệch giữa giá phí và giá trị ghi số tài sản thuần khi mua nhóm tài sản,243.248.959.644,14.387.665.444,243248959644.0,14387665444.0
Chi phí từ thiện,Chi phí từ thiện,Chi phí từ thiện,245.641.012.215,34.952.328.979,245641012215.0,34952328979.0
Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,214.870.028.926,179.600.118.587,214870028926.0,179600118587.0
"Ảnh hưởng các giao dịch mua bán, chuyển nhượng cổ phần trên báo cáo tài chính hợp nhất","Ảnh hưởng các giao dịch mua bán, chuyển nhượng cổ phần trên báo cáo tài chính hợp nhất","Ảnh hưởng các giao dịch mua bán, chuyển nhượng cổ phần trên báo cáo tài chính hợp nhất",(326.571.845.091),(59.331.890.829),-326571845091.0,-59331890829.0
Điều chỉnh ưu đãi thuế TNDN,Điều chỉnh ưu đãi thuế TNDN,Điều chỉnh ưu đãi thuế TNDN,(8.155.490.173),(9.380.219.059),-8155490173.0,-9380219059.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,(3.964.717.748),(8.630.105.924),-3964717748.0,-8630105924.0
Thu nhập từ cổ tức,Thu nhập từ cổ tức,Thu nhập từ cổ tức,(3.675.443.335),(1.861.252.604),-3675443335.0,-1861252604.0
Các khoản khác,Các khoản khác,Các khoản khác,32.661.636.216,27.372.479.403,32661636216.0,27372479403.0
Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(221.028.790.676),(13.202.777.526),-221028790676.0,-13202777526.0
Lỗ từ các hoạt động kinh doanh không được bù trừ,Lỗ từ các hoạt động kinh doanh không được bù trừ,Lỗ từ các hoạt động kinh doanh không được bù trừ,355.009.640.377,89.214.594.988,355009640377.0,89214594988.0
Chi phí thuế TNDN phản ánh trên báo cáo kết quả hoạt động kinh doanh hợp nhất,Chi phí thuế TNDN phản ánh trên báo cáo kết quả hoạt động kinh doanh hợp nhất,Chi phí thuế TNDN phản ánh trên báo cáo kết quả hoạt động kinh doanh hợp nhất,2.279.691.073.872,1.350.625.521.950,2279691073872.0,1350625521950.0
ước tính trong năm hiện hành,ước tính trong năm hiện hành,ước tính trong năm hiện hành,,,,
