row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam > Ngân hàng TMCP Kỹ thương Việt Nam > Trong đó: trái phiếu phát hành đến hạn trả > Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng TMCP Việt Nam Thịnh Vượng,Số cuối năm > 2.792.825.000.000 > 989.814.176.330 > 18.580.227.647.564 > (3.973.682.722.225) > 4.198.711.446.630 > 748.095.000.000,Kỳ hạn > Tháng 6 năm 2018 > Tháng 4 năm 2018 > Từ tháng 6 năm 2017 đến tháng 2 năm 2026 > Từ tháng 10 năm 2018 đến tháng 2 năm 2021 > Tháng 7 năm 2019,"Lãi suất > Lãi suất huy động tiết kiệm trung bình kỳ hạn12 tháng trả sau bằng VND (+) biên độ3%/năm > Lãi suất huy động tiết kiệm trung bình kỳ hạn12 tháng trả sau bằng VND (+) biên độ5,5%/năm > Lãi suất huy động tiết kiệm trung bình kỳ hạn12 tháng trả sau bằng VND (+) biên độ 4% đến 5%/năm; lãi suất8,5%/năm và lãi suất10%/năm > Lãi suất huy động tiết kiệm trung bình kỳ hạn12 tháng trả sau bằng VND (+) biên độ3%/năm và lãi suất7,75%/năm > Lãi suất 10%/năm",Tài sản đảm bảo > (i) > (ii) > (iii) > (iv) > (v),numeric__Số cuối năm > 2.792.825.000.000 > 989.814.176.330 > 18.580.227.647.564 > (3.973.682.722.225) > 4.198.711.446.630 > 748.095.000.000,numeric__Kỳ hạn > Tháng 6 năm 2018 > Tháng 4 năm 2018 > Từ tháng 6 năm 2017 đến tháng 2 năm 2026 > Từ tháng 10 năm 2018 đến tháng 2 năm 2021 > Tháng 7 năm 2019,"numeric__Lãi suất > Lãi suất huy động tiết kiệm trung bình kỳ hạn12 tháng trả sau bằng VND (+) biên độ3%/năm > Lãi suất huy động tiết kiệm trung bình kỳ hạn12 tháng trả sau bằng VND (+) biên độ5,5%/năm > Lãi suất huy động tiết kiệm trung bình kỳ hạn12 tháng trả sau bằng VND (+) biên độ 4% đến 5%/năm; lãi suất8,5%/năm và lãi suất10%/năm > Lãi suất huy động tiết kiệm trung bình kỳ hạn12 tháng trả sau bằng VND (+) biên độ3%/năm và lãi suất7,75%/năm > Lãi suất 10%/năm",numeric__Tài sản đảm bảo > (i) > (ii) > (iii) > (iv) > (v)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,23.335.990.548.299,,,,23335990548299.0,,,
Trong đó,Trong đó,Trong đó,,,,,,,,
Trái phiếu dài hạn,Trong đó > Trái phiếu dài hạn,Trái phiếu dài hạn,27.309.673.270.524,,,,27309673270524.0,,,
Trái phiếu dài hạn đến hạn trả,Trong đó > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,(3.973.682.722.225),,,,-3973682722225.0,,,
