row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm(Trình bày lại)
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,1.973.699.838.278,1.220.757.401.526,1973699838278.0,1220757401526.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,222.226.402.832,256.588.553.650,222226402832.0,256588553650.0
"Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",95.357.152.770,91.852.450.219,95357152770.0,91852450219.0
Phải thu từ cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,55.576.231.521,42.697.629.658,55576231521.0,42697629658.0
"Phải thu từ bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác","Phải thu từ bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác","Phải thu từ bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác",26.256.987.050,100.442.622.389,26256987050.0,100442622389.0
Phải thu từ cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ giáo dục và các dịch vụ liên quan,840.137.291,703.673.277,840137291.0,703673277.0
Phải thu từ cung cấp dịch vụ xây dựng và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ xây dựng và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ xây dựng và các dịch vụ liên quan,301.559.823.132,601.465.507.260,301559823132.0,601465507260.0
"Phải thu từ cung cấp dịch vụ quản lý, môi giới bất động sản và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ quản lý, môi giới bất động sản và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ quản lý, môi giới bất động sản và các dịch vụ liên quan",97.426.132.924,120.139.015.931,97426132924.0,120139015931.0
Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,367.694.692.439,93.448.998.244,367694692439.0,93448998244.0
Phải thu khác,Phải thu khác,Phải thu khác,30.125.377.578,4.153.518.984,30125377578.0,4153518984.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.170.762.775.815,2.532.249.371.138,3170762775815.0,2532249371138.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ khách hàng,Trong đó: > Phải thu ngắn hạn từ khách hàng,Phải thu ngắn hạn từ khách hàng,3.159.443.516.320,2.455.532.195.293,3159443516320.0,2455532195293.0
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),11.319.259.495,76.717.175.845,11319259495.0,76717175845.0
Dự phòng phải thu khó đòi,Trong đó: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(61.176.629.527),(111.652.055.514),-61176629527.0,-111652055514.0
Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:,,
Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu: > Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,616.434.941.286,628.772.614.597,616434941286.0,628772614597.0
Phải thu từ cung cấp dịch vụ xây dựng từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu: > Phải thu từ cung cấp dịch vụ xây dựng từ một đối tác doanh nghiệp,Phải thu từ cung cấp dịch vụ xây dựng từ một đối tác doanh nghiệp,-,344.852.318.673,,344852318673.0
Phải thu từ chuyển nhượng vốn cổ phần từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu: > Phải thu từ chuyển nhượng vốn cổ phần từ một đối tác doanh nghiệp,Phải thu từ chuyển nhượng vốn cổ phần từ một đối tác doanh nghiệp,331.000.000.000,-,331000000000.0,
