row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số cuối năm_3,Số đầu năm,Số đầu năm_1,Số đầu năm_2,Số đầu năm_3,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số cuối năm_3,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2,numeric__Số đầu năm_3
,,,Số lượng cổ phiếu,Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),Số lượng cổ phiếu,Tỷ lệ sở hữu (%),Giá gốc (VND),Dự phòng (VND),,,,,,,,
Công ty Sinh Thái(Thuyết minh số 4.2),Công ty Sinh Thái(Thuyết minh số 4.2),Công ty Sinh Thái(Thuyết minh số 4.2),-,-,-,-,54.741.497,"18,25",564.728.918.336,-,,,,,54741497.0,18.25,564728918336.0,
Công ty Cổ phần Truyềnthông Thanh niên,Công ty Cổ phần Truyềnthông Thanh niên,Công ty Cổ phần Truyềnthông Thanh niên,400.000,"3,87",12.400.000.000,-,400.000,"3,87",12.400.000.000,-,400000.0,3.87,12400000000.0,,400000.0,3.87,12400000000.0,
Công ty Cổ phần Pháttriển Năng lượng ThuậnPhong,Công ty Cổ phần Pháttriển Năng lượng ThuậnPhong,Công ty Cổ phần Pháttriển Năng lượng ThuậnPhong,300.000,"3,00",3.000.000.000,-,300.000,"3,00",3.000.000.000,-,300000.0,3.0,3000000000.0,,300000.0,3.0,3000000000.0,
Tổng Công ty Đệt mayViệt Nam,Tổng Công ty Đệt mayViệt Nam,Tổng Công ty Đệt mayViệt Nam,50.000.000,"10,00",552.395.000.000,-,50.000.000,"10,00",552.395.000.000,-,50000000.0,10.0,552395000000.0,,50000000.0,10.0,552395000000.0,
Công ty Liên doanh TNHHKim Ngọc (ii),Công ty Liên doanh TNHHKim Ngọc (ii),Công ty Liên doanh TNHHKim Ngọc (ii),(i),"12,50",6.154.842.680,-,(i),-,-,-,,12.5,6154842680.0,,,,,
Công ty Vicentra,Công ty Vicentra,Công ty Vicentra,-,-,-,-,56.985.344,"19,00",1.749.495.515.345,-,,,,,56985344.0,19.0,1749495515345.0,
Công ty Ngọc Viễn Đông(Thuyết minh số 19.1.1),Công ty Ngọc Viễn Đông(Thuyết minh số 19.1.1),Công ty Ngọc Viễn Đông(Thuyết minh số 19.1.1),(i),"9,62",521.071.699.183,-,(i),-,-,-,,9.62,521071699183.0,,,,,
Công ty M.Y.M(Thuyết minh số 19.1.1),Công ty M.Y.M(Thuyết minh số 19.1.1),Công ty M.Y.M(Thuyết minh số 19.1.1),5.700.000,"19,00",41.669.660.000,-,-,-,-,-,5700000.0,19.0,41669660000.0,,,,,
Công ty Viwaco (iii),Công ty Viwaco (iii),Công ty Viwaco (iii),1.201.800,"15,02",24.487.200.000,-,-,-,-,-,1201800.0,15.02,24487200000.0,,,,,
Công ty Quản lýVinhomes (iv),Công ty Quản lýVinhomes (iv),Công ty Quản lýVinhomes (iv),(i),"12,50",443.750.000.00,(56.192.900.196),(i),-,-,-,,12.5,44375000000.0,-56192900196.0,,,,
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,,,1.604.928.401.863,(56.192.900.196),,,2.882.019.433.681,-,,,1604928401863.0,-56192900196.0,,,2882019433681.0,
