row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay đải hạn ngân hàng,Vay đải hạn ngân hàng,Vay đải hạn ngân hàng,26.2.1,10.396.236.955.432,10.396.236.955.432,13.544.547.002.118,(13.557.564.539.666),10.383.219.417.884,10.383.219.417.884,2621.0,10396236955432.0,10396236955432.0,13544547002118.0,-13557564539666.0,10383219417884.0,10383219417884.0
Khoản vay chuyển đổi,Khoản vay chuyển đổi,Khoản vay chuyển đổi,26.2.1,439.278.942.399,439.278.942.399,10.337.695.021,-,449.616.637.420,449.616.637.420,2621.0,439278942399.0,439278942399.0,10337695021.0,,449616637420.0,449616637420.0
Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,26.2.2,22.287.168.627.156,22.287.168.627.156,13.761.078.444.983,(12.712.256.523.840),23.335.990.548.299,23.335.990.548.299,2622.0,22287168627156.0,22287168627156.0,13761078444983.0,-12712256523840.0,23335990548299.0,23335990548299.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,33.122.684.524.987,33.122.684.524.987,27.315.963.142.122,(26.269.821.063.506),34.168.826.603.603,34.168.826.603.603,,33122684524987.0,33122684524987.0,27315963142122.0,-26269821063506.0,34168826603603.0,34168826603603.0
