row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý được xác địnhtạm thời tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý được xác địnhtạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,1.206.813.935.768,1206813935768.0
Phải thu khách hàng,Tài sản > Phải thu khách hàng,Phải thu khách hàng,351.537.095.788,351537095788.0
Trà trước cho người bán,Tài sản > Trà trước cho người bán,Trà trước cho người bán,353.693.817.646,353693817646.0
Các khoản cho vay ngắn hạn,Tài sản > Các khoản cho vay ngắn hạn,Các khoản cho vay ngắn hạn,9.035.689.095.154,9035689095154.0
Các khoản phải thu khác,Tài sản > Các khoản phải thu khác,Các khoản phải thu khác,367.459.130.437,367459130437.0
Chi phí trả trước ngắn hạn,Tài sản > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,451.958.808.456,451958808456.0
Tài sản thuế thu nhập hoãn lại,Tài sản > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,16.226.938.919,16226938919.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,3.877.365.333.333,3877365333333.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,6.943.642.868.303,6943642868303.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,68.680.027.976,68680027976.0
,,,22.673.067.051.780,22673067051780.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,(205.229.551.429),-205229551429.0
Người mua trả tiền trước,Nợ phải trả > Người mua trả tiền trước,Người mua trả tiền trước,(5.618.486.690.150),-5618486690150.0
Thuế và các khoản phải nộp Nhà nước,Nợ phải trả > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,(76.930.249.745),-76930249745.0
Chi phí phải trả,Nợ phải trả > Chi phí phải trả,Chi phí phải trả,(599.409.802.823),-599409802823.0
Doanh thu chưa thực hiện,Nợ phải trả > Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,(61.496.125.387),-61496125387.0
Các khoản phải trả ngắn hạn khác,Nợ phải trả > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,(2.453.417.592.577),-2453417592577.0
Phải trả dài hạn khác,Nợ phải trả > Phải trả dài hạn khác,Phải trả dài hạn khác,(122.676.287.778),-122676287778.0
Vay và nợ thuê tài chính dài hạn,Nợ phải trả > Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,(10.777.654.960.903),-10777654960903.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,(77.848.901.682),-77848901682.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,2.679.916.889.306,2679916889306.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(987.427.626.946),-987427626946.0
Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),2.837.107.358.440,2837107358440.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,4.529.596.620.800,4529596620800.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,1.206.813.935.768,1206813935768.0
Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2016,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2016,Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2016,(2.780.146.560.000),-2780146560000.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(1.573.332.624.232),-1573332624232.0
