row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị hợp lý được xác định tạm thời tại ngày mua,numeric__Đơn vị tính: VND > Giá trị hợp lý được xác định tạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,93.926.385.484,93926385484.0
Phải thu khách hàng,Tài sản > Phải thu khách hàng,Phải thu khách hàng,830.701.338.982,830701338982.0
Trả trước cho người bán,Tài sản > Trả trước cho người bán,Trả trước cho người bán,94.693.381.345,94693381345.0
Các khoản phải thu khác,Tài sản > Các khoản phải thu khác,Các khoản phải thu khác,73.705.752.271,73705752271.0
Dự phòng phải thu ngắn hạn khó đòi,Tài sản > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(444.503.276.174),-444503276174.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,1.774.315.136.359,1774315136359.0
Dự phòng giảm giá hàng tồn kho,Tài sản > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(67.613.918.513),-67613918513.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,473.926.197.028,473926197028.0
"Đầu tư vào công ty liên kết, liên doanh (Thuyết minh số 19.1.1)","Tài sản > Đầu tư vào công ty liên kết, liên doanh (Thuyết minh số 19.1.1)","Đầu tư vào công ty liên kết, liên doanh (Thuyết minh số 19.1.1)",239.135.473.000,239135473000.0
Chi phí trả trước dài hạn,Tài sản > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,51.835.171.758,51835171758.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,149.330.298.297,149330298297.0
,,,3.269.451.939.837,3269451939837.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,424.164.774.172,424164774172.0
Người mua trả tiền trước,Nợ phải trả > Người mua trả tiền trước,Người mua trả tiền trước,97.770.799.574,97770799574.0
Thuế và các khoản phải nộp Nhà nước,Nợ phải trả > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,72.410.986.804,72410986804.0
Chi phí phải trả,Nợ phải trả > Chi phí phải trả,Chi phí phải trả,190.437.394.932,190437394932.0
"Các khoản phải trả, phải nộp ngắn hạn khác","Nợ phải trả > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",55.266.732.950,55266732950.0
Vay và nợ thuê tài chính ngắn hạn,Nợ phải trả > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,1.035.638.185.385,1035638185385.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,96.209.846.719,96209846719.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,1.297.553.219.301,1297553219301.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(51.032.481.966),-51032481966.0
Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),1.244.602.203.203,1244602203203.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,2.491.122.940.538,2491122940538.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,93.926.385.484,93926385484.0
Tiền chỉ để mua công ty con tỉnh đến ngày 31 tháng 12 năm 2016,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con tỉnh đến ngày 31 tháng 12 năm 2016,Tiền chỉ để mua công ty con tỉnh đến ngày 31 tháng 12 năm 2016,(1.282.369.317.454),-1282369317454.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(1.188.442.931.970),-1188442931970.0
