row_label_raw,row_label_full,Bên liên quan > Phải thu về cho vay (Thuyết minh số 8) > Công ty Tậpđoàn Kỹ nghệGỗ TrườngThành,Mối quanhệ > Phải thu về cho vay (Thuyết minh số 8) > Công tyliên kết (từngày 30tháng 11năm 2016),Lãi suất > Phải thu về cho vay (Thuyết minh số 8) > 10%/năm > 7%/năm,Ngày đáohan > Phải thu về cho vay (Thuyết minh số 8) > Tháng 6 năm2017 > Tháng 07năm 2017 > Từ tháng 02năm 2017đến tháng 06năm 2017,Tài sản đàmbảo > Phải thu về cho vay (Thuyết minh số 8) > (i),Số dư cho vayVND > Phải thu về cho vay (Thuyết minh số 8) > 529.498.750.007 > 502.837.777.780,numeric__Mối quanhệ > Phải thu về cho vay (Thuyết minh số 8) > Công tyliên kết (từngày 30tháng 11năm 2016),numeric__Lãi suất > Phải thu về cho vay (Thuyết minh số 8) > 10%/năm > 7%/năm,numeric__Ngày đáohan > Phải thu về cho vay (Thuyết minh số 8) > Tháng 6 năm2017 > Tháng 07năm 2017 > Từ tháng 02năm 2017đến tháng 06năm 2017,numeric__Tài sản đàmbảo > Phải thu về cho vay (Thuyết minh số 8) > (i),numeric__Số dư cho vayVND > Phải thu về cho vay (Thuyết minh số 8) > 529.498.750.007 > 502.837.777.780
,,,,,,Không,335.389.000.000,,,,,335389000000.0
,,,,,,,1.367.725.527.787,,,,,1367725527787.0
