row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối (Trình bày lại),Lợi ích của cổ đông không kiểm soát (Trình bày lại)(i),Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối (Trình bày lại),numeric__Lợi ích của cổ đông không kiểm soát (Trình bày lại)(i),numeric__Tổng cộng
Năm trước (trình bày lại),Năm trước (trình bày lại),Năm trước (trình bày lại),Năm trước (trình bày lại),Năm trước (trình bày lại),Năm trước (trình bày lại),Năm trước (trình bày lại),Năm trước (trình bày lại),Năm trước (trình bày lại),Năm trước (trình bày lại),,,,,,,
Số dư đầu năm,Năm trước (trình bày lại) > Số dư đầu năm,Số dư đầu năm,14.545.550.980.000,4.582.534.150.067,(2.974.924.074.484),22.845.114.930,4.220.035.125.587,7.066.647.379.677,27.462.688.675.777,14545550980000.0,4582534150067.0,-2974924074484.0,22845114930.0,4220035125587.0,7066647379677.0,27462688675777.0
- Lợi nhuận thuần trong năm,Năm trước (trình bày lại) > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,1.215.774.826.080,285.700.617.371,1.501.475.443.451,,,,,1215774826080.0,285700617371.0,1501475443451.0
- Chuyển đổi trái phiếu,Năm trước (trình bày lại) > - Chuyển đổi trái phiếu,- Chuyển đổi trái phiếu,372.690.630.000,710.507.720.930,-,-,-,-,1.083.198.350.930,372690630000.0,710507720930.0,,,,,1083198350930.0
- Trích quỹ khác,Năm trước (trình bày lại) > - Trích quỹ khác,- Trích quỹ khác,-,-,-,5.000.000.000,(5.000.000.000),-,-,,,,5000000000.0,-5000000000.0,,
- Cổ tức được chia bằng cổ phiếu,Năm trước (trình bày lại) > - Cổ tức được chia bằng cổ phiếu,- Cổ tức được chia bằng cổ phiếu,3.763.639.260.000,-,-,-,(3.763.639.260.000),-,-,3763639260000.0,,,,-3763639260000.0,,
- Góp vốn tử cổ đông không kiểm soát,Năm trước (trình bày lại) > - Góp vốn tử cổ đông không kiểm soát,- Góp vốn tử cổ đông không kiểm soát,-,-,-,-,-,7.544.319.623.168,7.544.319.623.168,,,,,,7544319623168.0,7544319623168.0
- Mua công ty con mới,Năm trước (trình bày lại) > - Mua công ty con mới,- Mua công ty con mới,-,-,-,-,-,660.610.182.743,660.610.182.743,,,,,,660610182743.0,660610182743.0
- Mua thêm một phần lợi ích trong công ty con,Năm trước (trình bày lại) > - Mua thêm một phần lợi ích trong công ty con,- Mua thêm một phần lợi ích trong công ty con,-,-,-,-,(182.625.670.826),47.496.474.797,(135.129.196.029),,,,,-182625670826.0,47496474797.0,-135129196029.0
- Chuyển nhượng một phần lợi ích trong công ty con không mất kiểm soát,Năm trước (trình bày lại) > - Chuyển nhượng một phần lợi ích trong công ty con không mất kiểm soát,- Chuyển nhượng một phần lợi ích trong công ty con không mất kiểm soát,-,477.565.957.602,-,-,(91.409.988.137),(260.254.138.062),125.901.831.403,,477565957602.0,,,-91409988137.0,-260254138062.0,125901831403.0
