row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND,numeric__Số cuối năm,numeric__Đơn vị tính: VND
Dự án khu đô thị Cần Giờ (*),Dự án khu đô thị Cần Giờ (*),Dự án khu đô thị Cần Giờ (*),12.243.684.937.843,-,12243684937843.0,
Dự án Vinhomes Central Park (*),Dự án Vinhomes Central Park (*),Dự án Vinhomes Central Park (*),3.929.866.564.685,1.818.156.762.596,3929866564685.0,1818156762596.0
Dự án Vinhomes Metropolis,Dự án Vinhomes Metropolis,Dự án Vinhomes Metropolis,3.518.540.132.293,-,3518540132293.0,
Các dự án về nông nghiệp,Các dự án về nông nghiệp,Các dự án về nông nghiệp,1.276.545.915.977,197.525.140.937,1276545915977.0,197525140937.0
Dự án Vinhomes Imperia (*),Dự án Vinhomes Imperia (*),Dự án Vinhomes Imperia (*),1.130.454.940.277,309.249.657.518,1130454940277.0,309249657518.0
Dự án Vinhomes Smart City (*),Dự án Vinhomes Smart City (*),Dự án Vinhomes Smart City (*),989.138.707.862,561.485.481.324,989138707862.0,561485481324.0
Dự án khu đô thị sinh thái đảo Vũ Yên,Dự án khu đô thị sinh thái đảo Vũ Yên,Dự án khu đô thị sinh thái đảo Vũ Yên,901.924.230.619,410.632.423.817,901924230619.0,410632423817.0
Dự án Vinhomes Springlake (*),Dự án Vinhomes Springlake (*),Dự án Vinhomes Springlake (*),823.768.956.046,817.972.759.456,823768956046.0,817972759456.0
Dự án các khu vui chơi giải trí Vinpearlland,Dự án các khu vui chơi giải trí Vinpearlland,Dự án các khu vui chơi giải trí Vinpearlland,639.686.691.498,152.192.079.793,639686691498.0,152192079793.0
Các dự án khu sân Golf và khu Spa Vinpearl Nha Trang,Các dự án khu sân Golf và khu Spa Vinpearl Nha Trang,Các dự án khu sân Golf và khu Spa Vinpearl Nha Trang,546.856.749.478,137.233.168.277,546856749478.0,137233168277.0
Dự án bệnh viện Vinmec,Dự án bệnh viện Vinmec,Dự án bệnh viện Vinmec,499.261.077.964,509.750.176.708,499261077964.0,509750176708.0
"Dự án sân golf Côn Áu, Cần Thơ","Dự án sân golf Côn Áu, Cần Thơ","Dự án sân golf Côn Áu, Cần Thơ",456.273.969.231,264.421.179.531,456273969231.0,264421179531.0
Dự án Vinpearl Quy Nhơn (*),Dự án Vinpearl Quy Nhơn (*),Dự án Vinpearl Quy Nhơn (*),413.960.206.942,400.452.118.618,413960206942.0,400452118618.0
Dự án Vincom Hà Tĩnh,Dự án Vincom Hà Tĩnh,Dự án Vincom Hà Tĩnh,330.725.763.495,79.461.006.322,330725763495.0,79461006322.0
Dự án Vinhomes Gardenia (*),Dự án Vinhomes Gardenia (*),Dự án Vinhomes Gardenia (*),310.114.974.026,-,310114974026.0,
Dự án Vinhomes Golden River,Dự án Vinhomes Golden River,Dự án Vinhomes Golden River,296.036.399.839,-,296036399839.0,
Dự án Vincom Bắc Ninh (*),Dự án Vincom Bắc Ninh (*),Dự án Vincom Bắc Ninh (*),292.944.453.570,261.266.168.755,292944453570.0,261266168755.0
Dự án Lăng Vân,Dự án Lăng Vân,Dự án Lăng Vân,269.546.570.195,255.707.579.088,269546570195.0,255707579088.0
Dự án Vincom Vĩnh Long,Dự án Vincom Vĩnh Long,Dự án Vincom Vĩnh Long,262.530.998.697,-,262530998697.0,
Dự án cảng hành khách quốc tế,Dự án cảng hành khách quốc tế,Dự án cảng hành khách quốc tế,254.586.113.776,-,254586113776.0,
Dự án Hôn Một (*),Dự án Hôn Một (*),Dự án Hôn Một (*),230.209.993.419,222.061.969.695,230209993419.0,222061969695.0
Dự án Vinpearl Phú Quốc,Dự án Vinpearl Phú Quốc,Dự án Vinpearl Phú Quốc,229.381.668.929,395.053.725.772,229381668929.0,395053725772.0
Dự án Times City Parkhills (*),Dự án Times City Parkhills (*),Dự án Times City Parkhills (*),203.234.960.766,244.612.364.031,203234960766.0,244612364031.0
Dự án Vinpearl Hội An,Dự án Vinpearl Hội An,Dự án Vinpearl Hội An,192.334.811.149,82.574.687.134,192334811149.0,82574687134.0
Dự án Ngôi sao Phương Nam (*),Dự án Ngôi sao Phương Nam (*),Dự án Ngôi sao Phương Nam (*),189.272.511.069,-,189272511069.0,
"Dự án Vincom Hùng Vương, Huế","Dự án Vincom Hùng Vương, Huế","Dự án Vincom Hùng Vương, Huế",185.547.295.582,71.638.460.640,185547295582.0,71638460640.0
Dự án xây dựng chuỗi siêu thị Maximark,Dự án xây dựng chuỗi siêu thị Maximark,Dự án xây dựng chuỗi siêu thị Maximark,173.679.009.391,171.836.500.000,173679009391.0,171836500000.0
Dự án Tây Hồ View,Dự án Tây Hồ View,Dự án Tây Hồ View,169.954.400.993,152.852.323.368,169954400993.0,152852323368.0
Dự án Vinpearl Cửa Hội,Dự án Vinpearl Cửa Hội,Dự án Vinpearl Cửa Hội,140.876.937.416,-,140876937416.0,
Dự án Vincom Plaza Trả Vinh,Dự án Vincom Plaza Trả Vinh,Dự án Vincom Plaza Trả Vinh,139.556.964.057,-,139556964057.0,
Dự án Vinpearl Condotel Nha Trang,Dự án Vinpearl Condotel Nha Trang,Dự án Vinpearl Condotel Nha Trang,139.354.536.405,215.967.772.182,139354536405.0,215967772182.0
Dự án Vincom Thanh Hóa,Dự án Vincom Thanh Hóa,Dự án Vincom Thanh Hóa,116.648.455.745,12.942.906.625,116648455745.0,12942906625.0
Dự án Vincom Plaza Hậu Giang,Dự án Vincom Plaza Hậu Giang,Dự án Vincom Plaza Hậu Giang,115.769.011.486,-,115769011486.0,
Dự án Vidifi,Dự án Vidifi,Dự án Vidifi,108.044.747.462,-,108044747462.0,
Dự án Nam Long,Dự án Nam Long,Dự án Nam Long,104.000.000.000,-,104000000000.0,
Dự án Giàng Võ,Dự án Giàng Võ,Dự án Giàng Võ,94.028.014.722,-,94028014722.0,
Dự án Vinhomes Green Bay (*),Dự án Vinhomes Green Bay (*),Dự án Vinhomes Green Bay (*),87.901.749.375,1.987.225.173.391,87901749375.0,1987225173391.0
Dự án Vincom Plaza Lý Bôn,Dự án Vincom Plaza Lý Bôn,Dự án Vincom Plaza Lý Bôn,-,60.826.885.884,,60826885884.0
Dự án Vincom Plaza Buôn Ma Thuột,Dự án Vincom Plaza Buôn Ma Thuột,Dự án Vincom Plaza Buôn Ma Thuột,-,101.113.430.230,,101113430230.0
Dự án Vincom Plaza Bạc Liêu,Dự án Vincom Plaza Bạc Liêu,Dự án Vincom Plaza Bạc Liêu,-,28.228.070.000,,28228070000.0
Dự án Vinpearl Premium Golf Land,Dự án Vinpearl Premium Golf Land,Dự án Vinpearl Premium Golf Land,-,668.363.446.429,,668363446429.0
Dự án Thảo Điền (*),Dự án Thảo Điền (*),Dự án Thảo Điền (*),-,844.666.731.848,,844666731848.0
Dự án Khách sạn Riverview Đà Nẵng (*),Dự án Khách sạn Riverview Đà Nẵng (*),Dự án Khách sạn Riverview Đà Nẵng (*),-,54.415.552.534,,54415552534.0
