row_label_raw,row_label_full,Chi phí lãi vay (bao gồm chỉ phí phát hành trái phiếu và trái phiếu chuyển đổi phân bổ trong năm) > Lỗ do đánh giá lại giá trị hợp lý của khoản đầu tư,Năm nay > 4.308.066.793.490 > 805.779.509.476,Đơn vị tính: VNDNăm trước > 2.721.940.288.870 > -,numeric__Năm nay > 4.308.066.793.490 > 805.779.509.476,numeric__Đơn vị tính: VNDNăm trước > 2.721.940.288.870 > -
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,167.939.028.065,537.828.628.307,167939028065.0,537828628307.0
Trích lập/(hoàn nhập) dự phòng giảm giá các khoản đầu tư,Trích lập/(hoàn nhập) dự phòng giảm giá các khoản đầu tư,Trích lập/(hoàn nhập) dự phòng giảm giá các khoản đầu tư,60.231.560.196,(16.848.788.998),60231560196.0,-16848788998.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,47.017.180.960,39.154.787.797,47017180960.0,39154787797.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.389.034.072.187,3.282.074.915.976,5389034072187.0,3282074915976.0
